"DateTime","total","ratio","filter","remove"
"2022-09-20 00:00:00",41,0,0,0
"2022-09-22 00:00:00",38,0,0,0
"2022-09-24 00:00:00",33,0,0,2
"2022-09-26 00:00:00",38,0,0,0
"2022-09-28 00:00:00",33,0,0,0
"2022-09-30 00:00:00",45,0,0,0
"2022-10-02 00:00:00",45,0,0,0
"2022-10-04 00:00:00",41,0,0,0
"2022-10-06 00:00:00",50,0,0,0
"2022-10-08 00:00:00",36,0,0,0
"2022-10-10 00:00:00",33,0,0,0
"2022-10-12 00:00:00",44,0,0,0
"2022-10-14 00:00:00",31,0,0,0
"2022-10-16 00:00:00",33,0,0,0
"2022-10-18 00:00:00",29,0,0,0
"2022-10-20 00:00:00",26,0,0,0
"2022-10-22 00:00:00",31,0,0,0
"2022-10-24 00:00:00",24,0,0,0
"2022-10-26 00:00:00",28,0,0,0
"2022-10-28 00:00:00",22,0,0,0
"2022-10-30 00:00:00",25,0,0,0
"2022-11-01 00:00:00",21,0,0,0
"2022-11-03 00:00:00",19,0,0,0
"2022-11-05 00:00:00",36,0,0,0
"2022-11-07 00:00:00",34,0,0,0
"2022-11-09 00:00:00",38,0,0,0
"2022-11-11 00:00:00",21,0,0,0
"2022-11-13 00:00:00",28,0,0,0
"2022-11-15 00:00:00",25,0,0,0
"2022-11-17 00:00:00",20,0,0,0
"2022-11-19 00:00:00",20,0,0,0
"2022-11-21 00:00:00",22,0,0,0
"2022-11-23 00:00:00",20,0,0,0
"2022-11-25 00:00:00",17,0,0,0
"2022-11-27 00:00:00",27,0,0,0
"2022-11-30 00:00:00",22,0,0,0
"2022-12-02 00:00:00",21,0,0,0
"2022-12-04 00:00:00",22,0,0,0
"2022-12-06 00:00:00",24,0,0,0
"2022-12-08 00:00:00",20,0,0,0
"2022-12-10 00:00:00",24,0,0,0
"2022-12-12 00:00:00",16,0,0,0
"2022-12-14 00:00:00",19,0,0,0
"2022-12-16 00:00:00",22,0,0,0
"2022-12-18 00:00:00",18,0,0,0
"2022-12-20 00:00:00",22,0,0,0
"2022-12-22 00:00:00",22,0,0,0
"2022-12-24 00:00:00",18,0,0,0
"2022-12-26 00:00:00",25,0,0,0
"2022-12-28 00:00:00",20,0,0,0
"2022-12-30 00:00:00",26,0,0,0
"2023-01-01 00:00:00",16,0,0,0
"2023-01-03 00:00:00",26,0,0,0
"2023-01-05 00:00:00",15,0,0,0
"2023-01-07 00:00:00",25,0,0,0
"2023-01-09 00:00:00",24,0,0,0
"2023-01-13 00:00:00",28,0,0,0
"2023-01-15 00:00:00",36,0,0,0
"2023-01-17 00:00:00",24,0,0,0
"2023-01-19 00:00:00",39,0,0,0
"2023-01-21 00:00:00",35,0,0,0
"2023-01-23 00:00:00",23,0,0,0
"2023-01-26 00:00:00",30,0,0,0
"2023-01-28 00:00:00",28,0,0,0
"2023-02-01 00:00:00",30,0,0,0
"2023-02-01 00:00:00",27,0,0,0
"2023-02-01 00:00:00",30,0,0,0
"2023-02-01 00:00:00",28,0,0,0
"2023-02-01 00:00:00",27,0,0,0
