date,total,filter,remove,ratio
2021-12-26,23,10,0,0.43
2021-12-28,16,1,0,0.06
2021-12-30,21,7,0,0.33
2022-01-02,17,4,1,0.24
2022-01-08,23,9,0,0.39
2022-01-10,19,8,0,0.42
2022-01-12,21,8,0,0.38
2022-01-14,19,6,0,0.32
2022-01-16,19,4,0,0.21
2022-01-18,29,13,0,0.45
2022-01-20,22,10,0,0.45
2022-01-22,21,1,0,0.05
2022-01-24,24,4,0,0.17
2022-01-26,24,5,0,0.21
2022-01-28,19,8,0,0.42
2022-01-30,19,7,0,0.37
2022-02-02,21,2,3,0.1
2022-02-04,27,6,0,0.22
2022-02-06,26,8,0,0.31
2022-02-08,21,5,0,0.24
2022-02-10,35,10,0,0.29
2022-02-12,29,14,0,0.48
2022-02-14,18,3,0,0.17
2022-02-16,27,5,0,0.19
2022-02-18,25,7,0,0.28
2022-02-20,29,12,0,0.41
2022-02-22,20,4,0,0.2
2022-02-26,17,4,0,0.24
2022-02-28,31,4,0,0.13
2022-03-02,23,7,0,0.3
2022-03-04,17,3,0,0.18
2022-03-06,18,8,0,0.44
2022-03-08,22,6,0,0.27
2022-03-10,31,5,0,0.16
2022-03-12,27,3,0,0.11
2022-03-14,35,3,0,0.09
2022-03-16,20,6,0,0.3
2022-03-18,24,9,0,0.38
2022-03-20,25,7,0,0.28
2022-03-22,18,8,0,0.44
2022-03-24,18,9,0,0.5
2022-03-26,22,4,0,0.18
2022-03-28,23,8,0,0.35
2022-03-30,20,3,0,0.15
2022-04-02,23,9,0,0.39
2022-04-04,46,7,2,0.15
2022-04-06,31,3,2,0.1
2022-04-08,45,22,0,0.49
2022-04-10,37,4,0,0.11
2022-04-12,40,24,0,0.6
2022-04-14,32,9,0,0.28
2022-04-16,29,10,0,0.34
2022-04-18,50,4,0,0.08
2022-04-20,31,6,0,0.19
2022-04-22,54,14,0,0.26
2022-04-24,37,7,0,0.19
2022-04-26,62,16,0,0.26
2022-04-28,39,13,0,0.33
2022-04-30,36,7,0,0.19
2022-05-02,34,16,0,0.47
2022-05-04,49,26,0,0.53
2022-05-06,38,16,0,0.42
2022-05-08,40,19,0,0.48
2022-05-10,31,22,0,0.71
2022-05-12,46,11,0,0.24
2022-05-14,33,10,0,0.3
2022-05-16,28,7,2,0.25
2022-05-18,58,26,0,0.45
2022-05-20,33,15,0,0.45
2022-05-22,40,16,0,0.4
2022-05-24,31,26,0,0.84
2022-05-26,37,9,0,0.24
2022-06-02,39,7,0,0.18
2022-06-04,34,14,1,0.41
2022-06-06,39,16,0,0.41
2022-06-08,36,16,0,0.44
2022-06-10,47,18,0,0.38
2022-06-12,46,10,0,0.22
2022-06-14,47,8,0,0.17
2022-06-16,36,10,6,0.28
2022-06-18,34,11,0,0.32
2022-06-20,28,9,0,0.32
2022-06-22,50,5,0,0.1
2022-06-24,43,19,0,0.44
2022-06-26,41,10,0,0.24
2022-06-28,43,18,5,0.42
2022-06-30,34,5,0,0.15
2022-07-02,35,16,1,0.46
2022-07-04,34,8,0,0.24
2022-07-06,41,15,0,0.37
2022-07-08,40,14,0,0.35
2022-07-10,35,11,1,0.31
2022-07-12,32,4,1,0.12
2022-07-14,30,11,0,0.37
2022-07-16,36,13,0,0.36
2022-07-18,36,17,0,0.47
2022-07-20,42,6,0,0.14
2022-07-22,52,8,0,0.15
2022-07-24,59,16,0,0.27
2022-07-26,41,17,0,0.41
2022-07-28,31,4,0,0.13
2022-07-30,42,22,3,0.52
2022-08-02,38,13,5,0.34
2022-08-04,48,17,0,0.35
2022-08-06,37,5,0,0.14
2022-08-08,48,15,0,0.31
2022-08-10,31,17,0,0.55
2022-08-12,34,13,2,0.38
2022-08-14,38,12,0,0.32
2022-08-16,34,7,0,0.21
2022-08-18,59,25,0,0.42
