date,total,filter,remove,ratio
2021-12-26,23,22,0,0.96
2021-12-28,14,12,2,0.86
2021-12-30,21,20,0,0.95
2022-01-02,17,16,1,0.94
2022-01-08,23,21,0,0.91
2022-01-10,19,16,0,0.84
2022-01-12,16,14,5,0.88
2022-01-14,19,16,0,0.84
2022-01-16,19,16,0,0.84
2022-01-18,29,27,0,0.93
2022-01-20,22,19,0,0.86
2022-01-22,21,20,0,0.95
2022-01-24,24,23,0,0.96
2022-01-26,24,21,0,0.88
2022-01-28,18,16,1,0.89
2022-01-30,19,16,0,0.84
2022-02-02,24,23,0,0.96
2022-02-04,27,24,0,0.89
2022-02-06,25,23,1,0.92
2022-02-08,21,20,0,0.95
2022-02-10,35,32,0,0.91
2022-02-12,29,28,0,0.97
2022-02-14,18,16,0,0.89
2022-02-16,27,24,0,0.89
2022-02-18,25,23,0,0.92
2022-02-20,29,28,0,0.97
2022-02-22,18,17,2,0.94
2022-02-26,17,15,0,0.88
2022-02-28,31,27,0,0.87
2022-03-02,22,19,1,0.86
2022-03-04,17,16,0,0.94
2022-03-06,18,17,0,0.94
2022-03-08,22,21,0,0.95
2022-03-10,31,28,0,0.9
2022-03-12,27,26,0,0.96
2022-03-14,35,32,0,0.91
2022-03-16,20,19,0,0.95
2022-03-18,24,22,0,0.92
2022-03-20,25,21,0,0.84
2022-03-22,18,17,0,0.94
2022-03-24,18,15,0,0.83
2022-03-26,22,20,0,0.91
2022-03-28,23,22,0,0.96
2022-03-30,20,19,0,0.95
2022-04-02,20,19,3,0.95
2022-04-04,48,44,0,0.92
2022-04-06,33,30,0,0.91
2022-04-08,45,41,0,0.91
2022-04-10,35,31,2,0.89
2022-04-12,40,38,0,0.95
2022-04-14,32,29,0,0.91
2022-04-16,29,28,0,0.97
2022-04-18,50,49,0,0.98
2022-04-20,31,27,0,0.87
2022-04-22,54,47,0,0.87
2022-04-24,37,35,0,0.95
2022-04-26,62,57,0,0.92
2022-04-28,39,37,0,0.95
2022-04-30,34,29,2,0.85
2022-05-02,34,29,0,0.85
2022-05-04,49,43,0,0.88
2022-05-06,38,37,0,0.97
2022-05-08,40,35,0,0.88
2022-05-10,31,27,0,0.87
2022-05-12,46,43,0,0.93
2022-05-14,33,28,0,0.85
2022-05-16,28,24,2,0.86
2022-05-18,58,52,0,0.9
2022-05-20,33,31,0,0.94
2022-05-22,40,37,0,0.92
2022-05-24,26,23,5,0.88
2022-05-26,37,34,0,0.92
2022-06-02,38,35,1,0.92
2022-06-04,31,28,4,0.9
