date,total,filter,remove,ratio
2021-12-26,23,17,0,0.74
2021-12-28,15,10,1,0.67
2021-12-30,21,17,0,0.81
2022-01-02,17,8,1,0.47
2022-01-08,23,20,0,0.87
2022-01-10,19,17,0,0.89
2022-01-12,18,11,3,0.61
2022-01-14,19,16,0,0.84
2022-01-16,16,12,3,0.75
2022-01-18,29,14,0,0.48
2022-01-20,22,16,0,0.73
2022-01-22,21,16,0,0.76
2022-01-24,24,12,0,0.5
2022-01-26,20,15,4,0.75
2022-01-28,19,15,0,0.79
2022-01-30,19,11,0,0.58
2022-02-02,24,17,0,0.71
2022-02-04,27,22,0,0.81
2022-02-06,26,19,0,0.73
2022-02-08,21,12,0,0.57
2022-02-10,35,19,0,0.54
2022-02-12,29,17,0,0.59
2022-02-14,18,10,0,0.56
2022-02-16,27,15,0,0.56
2022-02-18,25,13,0,0.52
2022-02-20,29,20,0,0.69
2022-02-22,20,13,0,0.65
2022-02-26,17,14,0,0.82
2022-02-28,31,22,0,0.71
2022-03-02,23,19,0,0.83
2022-03-04,17,10,0,0.59
2022-03-06,18,15,0,0.83
2022-03-08,22,17,0,0.77
2022-03-10,30,20,1,0.67
2022-03-12,27,19,0,0.7
2022-03-14,35,30,0,0.86
2022-03-16,20,15,0,0.75
2022-03-18,24,21,0,0.88
2022-03-20,25,22,0,0.88
2022-03-22,18,11,0,0.61
2022-03-24,18,11,0,0.61
2022-03-26,22,17,0,0.77
2022-03-28,23,19,0,0.83
2022-03-30,20,15,0,0.75
2022-04-02,23,12,0,0.52
2022-04-04,48,36,0,0.75
2022-04-06,31,16,2,0.52
2022-04-08,43,22,2,0.51
2022-04-10,37,21,0,0.57
2022-04-12,40,33,0,0.82
2022-04-14,32,27,0,0.84
2022-04-16,29,15,0,0.52
2022-04-18,50,25,0,0.5
2022-04-20,29,24,2,0.83
2022-04-22,54,44,0,0.81
2022-04-24,37,27,0,0.73
2022-04-26,62,41,0,0.66
2022-04-28,39,26,0,0.67
2022-04-30,36,21,0,0.58
2022-05-02,31,25,3,0.81
2022-05-04,49,27,0,0.55
2022-05-06,38,23,0,0.61
2022-05-08,36,20,4,0.56
2022-05-10,30,23,1,0.77
2022-05-12,43,20,3,0.47
2022-05-14,33,24,0,0.73
2022-05-16,28,17,2,0.61
2022-05-18,58,45,0,0.78
2022-05-20,33,27,0,0.82
2022-05-22,40,23,0,0.57
2022-05-24,29,24,2,0.83
2022-05-26,33,17,4,0.52
2022-06-02,39,30,0,0.77
2022-06-04,35,22,0,0.63
2022-06-06,38,23,1,0.61
2022-06-08,36,19,0,0.53
2022-06-10,47,42,0,0.89
2022-06-12,46,25,0,0.54
2022-06-14,47,24,0,0.51
2022-06-16,42,32,0,0.76
2022-06-18,33,21,1,0.64
2022-06-20,28,15,0,0.54
2022-06-22,50,37,0,0.74
2022-06-24,43,21,0,0.49
2022-06-26,38,32,3,0.84
2022-06-28,48,28,0,0.58
2022-06-30,34,23,0,0.68
2022-07-02,36,27,0,0.75
2022-07-04,34,19,0,0.56
2022-07-06,35,30,6,0.86
2022-07-08,40,36,0,0.9
2022-07-10,35,22,1,0.63
2022-07-12,33,20,0,0.61
2022-07-14,30,22,0,0.73
2022-07-16,36,15,0,0.42
2022-07-18,36,24,0,0.67
2022-07-20,42,33,0,0.79
2022-07-22,52,47,0,0.9
2022-07-24,59,41,0,0.69
2022-07-26,41,26,0,0.63
2022-07-28,31,23,0,0.74
2022-07-30,45,32,0,0.71
2022-08-02,43,22,0,0.51
2022-08-04,48,40,0,0.83
2022-08-06,37,31,0,0.84
2022-08-08,48,35,0,0.73
2022-08-10,31,20,0,0.65
2022-08-12,36,21,0,0.58
2022-08-14,38,28,0,0.74
2022-08-16,34,23,0,0.68
2022-08-18,59,33,0,0.56
2022-08-20,39,25,1,0.64
2022-08-22,35,19,1,0.54
2022-08-24,47,30,0,0.64
2022-08-26,46,30,0,0.65
2022-08-28,46,31,0,0.67
2022-08-30,45,32,0,0.71
2022-09-02,57,30,0,0.53
2022-09-04,35,23,3,0.66
2022-09-06,38,32,0,0.84
2022-09-08,40,36,0,0.9
2022-09-10,49,25,0,0.51
2022-09-12,31,16,0,0.52
2022-09-14,34,17,0,0.5
2022-09-16,35,22,0,0.63
2022-09-18,45,32,0,0.71
2022-09-20,41,21,0,0.51
2022-09-22,38,32,0,0.84
2022-09-24,35,26,0,0.74
2022-09-26,33,22,5,0.67
2022-09-28,33,24,0,0.73
2022-09-30,45,25,0,0.56
2022-10-02,45,38,0,0.84
2022-10-04,41,34,0,0.83
2022-10-06,50,32,0,0.64
2022-10-08,36,30,0,0.83
2022-10-10,33,27,0,0.82
2022-10-12,44,37,0,0.84
2022-10-14,31,25,0,0.81
2022-10-16,33,25,0,0.76
2022-10-18,29,22,0,0.76
2022-10-20,26,18,0,0.69
2022-10-22,31,25,0,0.81
2022-10-24,24,18,0,0.75
2022-10-26,28,25,0,0.89
2022-10-28,22,17,0,0.77
2022-10-30,25,21,0,0.84
2022-11-01,21,16,0,0.76
2022-11-03,19,14,0,0.74
2022-11-05,36,28,0,0.78
2022-11-07,34,29,0,0.85
2022-11-09,38,26,0,0.68
2022-11-11,21,15,0,0.71
2022-11-13,28,24,0,0.86
2022-11-15,25,22,0,0.88
2022-11-17,20,15,0,0.75
2022-11-19,20,16,0,0.8
2022-11-21,22,16,0,0.73
2022-11-23,20,17,0,0.85
2022-11-25,17,14,0,0.82
2022-11-27,27,20,0,0.74
2022-11-30,22,16,0,0.73
2022-12-02,21,14,0,0.67
2022-12-04,22,17,0,0.77
2022-12-06,24,18,0,0.75
2022-12-08,20,14,0,0.7
2022-12-10,24,19,0,0.79
2022-12-12,16,12,0,0.75
2022-12-14,19,16,0,0.84
2022-12-16,22,17,0,0.77
2022-12-18,18,13,0,0.72
2022-12-20,22,16,0,0.73
2022-12-22,22,16,0,0.73
2022-12-24,18,15,0,0.83
2022-12-26,25,18,0,0.72
2022-12-28,20,17,0,0.85
2022-12-30,26,20,0,0.77
2023-01-01,16,12,0,0.75
2023-01-03,26,18,0,0.69
2023-01-05,15,11,0,0.73
2023-01-07,25,21,0,0.84
2023-01-09,24,20,0,0.83
2023-01-13,28,21,0,0.75
2023-01-15,36,27,0,0.75
2023-01-17,24,20,0,0.83
2023-01-19,39,27,0,0.69
2023-01-21,35,25,0,0.71
2023-01-23,23,17,0,0.74
2023-01-26,30,23,0,0.77
2023-01-28,28,21,0,0.75
2023-02-01,30,22,0,0.73
2023-02-01,27,21,0,0.78
2023-02-01,31,27,0,0.87
2023-02-01,24,20,0,0.83
2023-02-03,33,24,0,0.73
2023-02-05,28,23,0,0.82
2023-02-07,23,16,0,0.7
2023-02-09,31,25,0,0.81
2023-02-11,36,29,0,0.81
2023-02-13,24,19,0,0.79
2023-02-15,34,27,0,0.79
2023-02-17,24,19,0,0.79
2023-02-19,30,22,0,0.73
2023-02-21,26,21,0,0.81
2023-02-23,38,27,0,0.71
2023-02-25,22,16,0,0.73
2023-02-27,30,24,0,0.8
2023-03-01,31,22,0,0.71
2023-03-03,33,26,0,0.79
2023-03-05,28,20,0,0.71
2023-03-07,34,25,0,0.74
2023-03-09,33,26,0,0.79
2023-03-11,27,22,0,0.81
2023-03-13,30,26,0,0.87
2023-03-16,34,25,0,0.74
2023-03-18,22,17,0,0.77
2023-03-20,34,28,0,0.82
2023-03-22,24,19,0,0.79
2023-03-24,36,26,0,0.72
2023-03-26,26,21,0,0.81
