date,total,filter,remove,ratio
2021-12-26,23,19,0,0.83
2021-12-28,16,12,0,0.75
2021-12-30,19,15,2,0.79
2022-01-02,18,15,0,0.83
2022-01-08,23,19,0,0.83
2022-01-10,13,11,6,0.85
2022-01-12,21,19,0,0.9
2022-01-14,19,17,0,0.89
2022-01-16,19,16,0,0.84
2022-01-18,29,25,0,0.86
2022-01-20,22,16,0,0.73
2022-01-22,21,18,0,0.86
2022-01-24,24,19,0,0.79
2022-01-26,24,20,0,0.83
2022-01-28,18,16,1,0.89
2022-01-30,19,17,0,0.89
2022-02-02,24,21,0,0.88
2022-02-04,27,24,0,0.89
2022-02-06,26,24,0,0.92
2022-02-08,19,16,2,0.84
2022-02-10,35,30,0,0.86
2022-02-12,29,23,0,0.79
2022-02-14,18,13,0,0.72
2022-02-16,27,23,0,0.85
2022-02-18,25,21,0,0.84
2022-02-20,29,25,0,0.86
2022-02-22,20,16,0,0.8
2022-02-26,17,14,0,0.82
2022-02-28,31,28,0,0.9
2022-03-02,23,19,0,0.83
2022-03-04,12,9,5,0.75
2022-03-06,18,15,0,0.83
2022-03-08,19,15,3,0.79
2022-03-10,31,27,0,0.87
2022-03-12,27,23,0,0.85
2022-03-14,35,29,0,0.83
2022-03-16,20,16,0,0.8
2022-03-18,24,20,0,0.83
2022-03-20,22,18,3,0.82
2022-03-22,18,16,0,0.89
2022-03-24,14,12,4,0.86
2022-03-26,22,18,0,0.82
2022-03-28,23,19,0,0.83
2022-03-30,20,15,0,0.75
2022-04-02,19,17,4,0.89
2022-04-04,48,39,0,0.81
2022-04-06,33,28,0,0.85
2022-04-08,45,35,0,0.78
2022-04-10,36,32,1,0.89
2022-04-12,40,31,0,0.78
2022-04-14,32,28,0,0.88
2022-04-16,29,23,0,0.79
2022-04-18,48,41,2,0.85
2022-04-20,31,27,0,0.87
2022-04-22,54,48,0,0.89
2022-04-24,37,29,0,0.78
2022-04-26,62,49,0,0.79
2022-04-28,39,34,0,0.87
2022-04-30,36,30,0,0.83
2022-05-02,34,29,0,0.85
2022-05-04,49,44,0,0.9
2022-05-06,36,29,2,0.81
2022-05-08,40,35,0,0.88
2022-05-10,28,21,3,0.75
2022-05-12,46,36,0,0.78
2022-05-14,33,27,0,0.82
2022-05-16,30,25,0,0.83
2022-05-18,58,49,0,0.84
2022-05-20,33,29,0,0.88
2022-05-22,40,33,0,0.82
2022-05-24,31,27,0,0.87
2022-05-26,37,30,0,0.81
2022-06-02,39,33,0,0.85
2022-06-04,35,29,0,0.83
2022-06-06,39,33,0,0.85
2022-06-08,35,30,1,0.86
2022-06-10,45,35,2,0.78
2022-06-12,46,40,0,0.87
2022-06-14,45,38,2,0.84
2022-06-16,42,35,0,0.83
2022-06-18,34,30,0,0.88
2022-06-20,28,25,0,0.89
2022-06-22,50,42,0,0.84
2022-06-24,43,35,0,0.81
2022-06-26,41,38,0,0.93
2022-06-28,46,39,2,0.85
2022-06-30,34,29,0,0.85
2022-07-02,36,30,0,0.83
2022-07-04,33,28,1,0.85
2022-07-06,41,35,0,0.85
2022-07-08,40,33,0,0.82
2022-07-10,36,33,0,0.92
2022-07-12,33,30,0,0.91
2022-07-14,30,24,0,0.8
2022-07-16,35,32,1,0.91
2022-07-18,36,31,0,0.86
2022-07-20,42,36,0,0.86
2022-07-22,52,40,0,0.77
2022-07-24,59,55,0,0.93
2022-07-26,41,37,0,0.9
2022-07-28,31,26,0,0.84
2022-07-30,45,41,0,0.91
