date,total,filter,remove,ratio
2021-12-26,23,10,0,0.43
2021-12-28,16,7,0,0.44
2021-12-30,21,6,0,0.29
2022-01-02,18,12,0,0.67
2022-01-08,23,10,0,0.43
2022-01-10,19,10,0,0.53
2022-01-12,21,6,0,0.29
2022-01-14,19,7,0,0.37
2022-01-16,17,7,2,0.41
2022-01-18,29,17,0,0.59
2022-01-20,22,9,0,0.41
2022-01-22,21,5,0,0.24
2022-01-24,24,13,0,0.54
2022-01-26,24,8,0,0.33
2022-01-28,19,10,0,0.53
2022-01-30,19,3,0,0.16
2022-02-02,20,4,4,0.2
2022-02-04,27,11,0,0.41
2022-02-06,24,4,2,0.17
2022-02-08,21,7,0,0.33
2022-02-10,33,11,2,0.33
2022-02-12,29,10,0,0.34
2022-02-14,18,5,0,0.28
2022-02-16,27,13,0,0.48
2022-02-18,25,10,0,0.4
2022-02-20,29,17,0,0.59
2022-02-22,20,5,0,0.25
2022-02-26,17,8,0,0.47
2022-02-28,27,5,4,0.19
2022-03-02,23,11,0,0.48
2022-03-04,17,9,0,0.53
2022-03-06,18,7,0,0.39
2022-03-08,22,11,0,0.5
2022-03-10,31,8,0,0.26
2022-03-12,27,13,0,0.48
2022-03-14,35,9,0,0.26
2022-03-16,20,14,0,0.7
2022-03-18,19,8,5,0.42
2022-03-20,25,12,0,0.48
2022-03-22,18,7,0,0.39
2022-03-24,18,9,0,0.5
2022-03-26,22,11,0,0.5
2022-03-28,23,7,0,0.3
2022-03-30,19,8,1,0.42
2022-04-02,20,10,3,0.5
2022-04-04,48,25,0,0.52
2022-04-06,33,14,0,0.42
2022-04-08,45,12,0,0.27
2022-04-10,37,11,0,0.3
2022-04-12,40,15,0,0.38
2022-04-14,32,12,0,0.38
2022-04-16,29,14,0,0.48
2022-04-18,50,26,0,0.52
2022-04-20,31,6,0,0.19
2022-04-22,54,10,0,0.19
2022-04-24,35,21,2,0.6
2022-04-26,62,28,0,0.45
2022-04-28,39,15,0,0.38
2022-04-30,36,18,0,0.5
2022-05-02,31,11,3,0.35
2022-05-04,49,16,0,0.33
2022-05-06,38,13,0,0.34
2022-05-08,40,16,0,0.4
2022-05-10,31,10,0,0.32
2022-05-12,46,12,0,0.26
2022-05-14,32,16,1,0.5
2022-05-16,30,15,0,0.5
2022-05-18,58,13,0,0.22
2022-05-20,33,16,0,0.48
2022-05-22,39,18,1,0.46
2022-05-24,31,24,0,0.77
2022-05-26,37,9,0,0.24
2022-06-02,37,13,2,0.35
2022-06-04,35,7,0,0.2
2022-06-06,39,16,0,0.41
2022-06-08,35,9,1,0.26
2022-06-10,47,9,0,0.19
2022-06-12,46,15,0,0.33
2022-06-14,47,21,0,0.45
2022-06-16,42,26,0,0.62
2022-06-18,34,19,0,0.56
2022-06-20,28,19,0,0.68
2022-06-22,50,17,0,0.34
2022-06-24,38,20,5,0.53
2022-06-26,41,7,0,0.17
2022-06-28,48,39,0,0.81
2022-06-30,34,14,0,0.41
2022-07-02,36,10,0,0.28
2022-07-04,34,15,0,0.44
2022-07-06,41,12,0,0.29
2022-07-08,40,9,0,0.22
2022-07-10,33,11,3,0.33
2022-07-12,33,14,0,0.42
2022-07-14,30,6,0,0.2
2022-07-16,36,19,0,0.53
2022-07-18,36,16,0,0.44
2022-07-20,42,22,0,0.52
2022-07-22,52,24,0,0.46
2022-07-24,59,18,0,0.31
2022-07-26,41,20,0,0.49
2022-07-28,30,22,1,0.73
2022-07-30,45,14,0,0.31
2022-08-02,43,13,0,0.3
2022-08-04,46,19,2,0.41
2022-08-06,37,12,0,0.32
2022-08-08,46,24,2,0.52
2022-08-10,31,15,0,0.48
2022-08-12,36,11,0,0.31
2022-08-14,38,19,0,0.5
2022-08-16,34,14,0,0.41
2022-08-18,59,13,0,0.22
2022-08-20,40,9,0,0.22
2022-08-22,35,10,1,0.29
2022-08-24,47,17,0,0.36
2022-08-26,46,23,0,0.5
2022-08-28,46,13,0,0.28
2022-08-30,45,19,0,0.42
2022-09-02,53,27,4,0.51
2022-09-04,38,22,0,0.58
2022-09-06,38,10,0,0.26
2022-09-08,40,20,0,0.5
2022-09-10,49,15,0,0.31
2022-09-12,31,11,0,0.35
2022-09-14,34,11,0,0.32
2022-09-16,35,9,0,0.26
2022-09-18,45,25,0,0.56
2022-09-20,39,16,2,0.41
2022-09-22,38,18,0,0.47
2022-09-24,35,20,0,0.57
2022-09-26,38,10,0,0.26
2022-09-28,33,17,0,0.52
2022-09-30,43,15,2,0.35
2022-10-02,43,15,2,0.35
2022-10-04,41,17,0,0.41
2022-10-06,50,16,0,0.32
2022-10-08,36,19,0,0.53
2022-10-10,33,12,0,0.36
2022-10-12,44,22,0,0.5
2022-10-14,31,19,0,0.61
2022-10-16,33,15,0,0.45
2022-10-18,29,13,0,0.45
2022-10-20,26,11,0,0.42
2022-10-22,31,15,0,0.48
2022-10-24,24,17,0,0.71
2022-10-26,28,20,0,0.71
2022-10-28,22,14,0,0.64
2022-10-30,25,10,0,0.4
2022-11-01,21,8,0,0.38
2022-11-03,19,14,0,0.74
2022-11-05,36,14,0,0.39
2022-11-07,34,25,0,0.74
2022-11-09,38,25,0,0.66
2022-11-11,21,9,0,0.43
2022-11-13,28,14,0,0.5
2022-11-15,25,15,0,0.6
2022-11-17,20,8,0,0.4
2022-11-19,20,9,0,0.45
2022-11-21,22,17,0,0.77
2022-11-23,20,9,0,0.45
2022-11-25,17,11,0,0.65
2022-11-27,27,21,0,0.78
2022-11-30,22,13,0,0.59
2022-12-02,21,13,0,0.62
2022-12-04,22,12,0,0.55
2022-12-06,24,11,0,0.46
2022-12-08,20,14,0,0.7
2022-12-10,24,15,0,0.62
2022-12-12,16,12,0,0.75
2022-12-14,19,10,0,0.53
2022-12-16,22,11,0,0.5
2022-12-18,18,13,0,0.72
2022-12-20,22,15,0,0.68
2022-12-22,22,16,0,0.73
2022-12-24,18,13,0,0.72
2022-12-26,25,14,0,0.56
2022-12-28,20,12,0,0.6
2022-12-30,26,14,0,0.54
2023-01-01,16,7,0,0.44
2023-01-03,26,19,0,0.73
2023-01-05,15,10,0,0.67
2023-01-07,25,18,0,0.72
2023-01-09,24,14,0,0.58
2023-01-13,28,17,0,0.61
2023-01-15,36,19,0,0.53
2023-01-17,24,18,0,0.75
2023-01-19,39,20,0,0.51
2023-01-21,35,20,0,0.57
2023-01-23,23,16,0,0.7
2023-01-26,30,21,0,0.7
2023-01-28,28,15,0,0.54
2023-02-01,30,16,0,0.53
2023-02-01,27,18,0,0.67
2023-02-01,25,15,0,0.6
2023-02-01,31,19,0,0.61
2023-02-01,24,14,0,0.58
2023-02-01,26,16,0,0.62
2023-02-03,33,15,0,0.45
2023-02-05,28,17,0,0.61
2023-02-07,23,17,0,0.74
2023-02-09,31,19,0,0.61
2023-02-11,36,19,0,0.53
2023-02-13,24,11,0,0.46
2023-02-15,34,18,0,0.53
2023-02-17,24,12,0,0.5
2023-02-19,30,19,0,0.63
2023-02-21,26,20,0,0.77
2023-02-23,38,29,0,0.76
2023-02-25,22,14,0,0.64
2023-02-27,30,20,0,0.67
2023-03-01,31,23,0,0.74
2023-03-03,33,19,0,0.58
2023-03-05,28,22,0,0.79
2023-03-07,34,16,0,0.47
2023-03-09,33,18,0,0.55
2023-03-11,27,18,0,0.67
2023-03-13,30,18,0,0.6
2023-03-16,34,20,0,0.59
2023-03-18,22,16,0,0.73
