date,total,filter,remove,ratio
2021-12-26,23,21,0,0.91
2021-12-28,16,15,0,0.94
2021-12-30,21,20,0,0.95
2022-01-02,18,17,0,0.94
2022-01-08,23,20,0,0.87
2022-01-10,19,17,0,0.89
2022-01-12,21,20,0,0.95
2022-01-14,15,14,4,0.93
2022-01-16,19,17,0,0.89
2022-01-18,29,28,0,0.97
2022-01-20,22,20,0,0.91
2022-01-22,18,16,3,0.89
2022-01-24,24,23,0,0.96
2022-01-26,24,23,0,0.96
2022-01-28,16,14,3,0.88
2022-01-30,17,16,2,0.94
2022-02-02,24,22,0,0.92
2022-02-04,27,23,0,0.85
2022-02-06,26,24,0,0.92
2022-02-08,21,19,0,0.9
2022-02-10,35,34,0,0.97
2022-02-12,29,26,0,0.9
2022-02-14,18,17,0,0.94
2022-02-16,27,24,0,0.89
2022-02-18,25,22,0,0.88
2022-02-20,26,25,3,0.96
2022-02-22,20,19,0,0.95
2022-02-26,17,15,0,0.88
2022-02-28,31,29,0,0.94
2022-03-02,23,19,0,0.83
2022-03-04,16,14,1,0.88
2022-03-06,18,15,0,0.83
2022-03-08,22,20,0,0.91
2022-03-10,31,28,0,0.9
2022-03-12,26,23,1,0.88
2022-03-14,35,34,0,0.97
2022-03-16,19,17,1,0.89
2022-03-18,24,21,0,0.88
2022-03-20,25,23,0,0.92
2022-03-22,18,17,0,0.94
2022-03-24,18,17,0,0.94
2022-03-26,22,21,0,0.95
2022-03-28,20,19,3,0.95
2022-03-30,17,15,3,0.88
2022-04-02,23,21,0,0.91
2022-04-04,48,42,0,0.88
2022-04-06,33,29,0,0.88
2022-04-08,40,37,5,0.92
2022-04-10,36,33,1,0.92
2022-04-12,40,35,0,0.88
2022-04-14,32,30,0,0.94
2022-04-16,29,27,0,0.93
2022-04-18,50,44,0,0.88
2022-04-20,31,27,0,0.87
2022-04-22,54,52,0,0.96
2022-04-24,37,33,0,0.89
2022-04-26,62,59,0,0.95
2022-04-28,39,34,0,0.87
2022-04-30,36,32,0,0.89
2022-05-02,33,32,1,0.97
2022-05-04,49,47,0,0.96
2022-05-06,34,33,4,0.97
2022-05-08,38,33,2,0.87
2022-05-10,31,29,0,0.94
2022-05-12,46,45,0,0.98
2022-05-14,29,28,4,0.97
2022-05-16,30,27,0,0.9
2022-05-18,58,52,0,0.9
2022-05-20,31,29,2,0.94
2022-05-22,40,35,0,0.88
2022-05-24,29,27,2,0.93
2022-05-26,37,35,0,0.95
2022-06-02,39,38,0,0.97
2022-06-04,35,32,0,0.91
2022-06-06,39,34,0,0.87
2022-06-08,36,32,0,0.89
2022-06-10,45,44,2,0.98
2022-06-12,46,42,0,0.91
2022-06-14,46,45,1,0.98
2022-06-16,42,38,0,0.9
2022-06-18,34,30,0,0.88
2022-06-20,28,25,0,0.89
2022-06-22,50,47,0,0.94
2022-06-24,43,37,0,0.86
2022-06-26,41,38,0,0.93
2022-06-28,48,47,0,0.98
2022-06-30,32,29,2,0.91
2022-07-02,36,31,0,0.86
2022-07-04,34,29,0,0.85
2022-07-06,41,37,0,0.9
2022-07-08,40,37,0,0.92
2022-07-10,36,34,0,0.94
2022-07-12,33,30,0,0.91
2022-07-14,26,23,4,0.88
2022-07-16,33,30,3,0.91
2022-07-18,36,32,0,0.89
2022-07-20,42,40,0,0.95
2022-07-22,52,47,0,0.9
2022-07-24,59,50,0,0.85
2022-07-26,41,36,0,0.88
2022-07-28,31,29,0,0.94
2022-07-30,45,43,0,0.96
2022-08-02,43,38,0,0.88
2022-08-04,48,47,0,0.98
2022-08-06,34,31,3,0.91
2022-08-08,48,47,0,0.98
2022-08-10,31,27,0,0.87
2022-08-12,36,32,0,0.89
2022-08-14,38,33,0,0.87
2022-08-16,34,33,0,0.97
2022-08-18,59,58,0,0.98
2022-08-20,40,37,0,0.92
2022-08-22,36,33,0,0.92
2022-08-24,43,39,4,0.91
2022-08-26,46,42,0,0.91
2022-08-28,46,44,0,0.96
2022-08-30,45,38,0,0.84
2022-09-02,57,51,0,0.89
2022-09-04,38,36,0,0.95
2022-09-06,38,35,0,0.92
2022-09-08,40,36,0,0.9
2022-09-10,47,45,2,0.96
2022-09-12,31,29,0,0.94
2022-09-14,29,27,5,0.93
2022-09-16,35,32,0,0.91
2022-09-18,45,42,0,0.93
2022-09-20,41,36,0,0.88
2022-09-22,38,33,0,0.87
2022-09-24,35,31,0,0.89
2022-09-26,38,33,0,0.87
2022-09-28,33,31,0,0.94
2022-09-30,45,44,0,0.98
2022-10-02,45,42,0,0.93
2022-10-04,41,38,0,0.93
2022-10-06,48,43,2,0.9
2022-10-08,35,34,1,0.97
2022-10-10,30,29,3,0.97
2022-10-12,44,42,0,0.95
2022-10-14,31,29,0,0.94
2022-10-16,33,30,0,0.91
2022-10-18,29,26,0,0.9
2022-10-20,26,23,0,0.88
2022-10-22,31,29,0,0.94
2022-10-24,24,22,0,0.92
2022-10-26,28,25,0,0.89
2022-10-28,22,20,0,0.91
2022-10-30,25,24,0,0.96
2022-11-01,21,19,0,0.9
2022-11-03,19,18,0,0.95
2022-11-05,36,34,0,0.94
2022-11-07,34,31,0,0.91
2022-11-09,38,35,0,0.92
2022-11-11,21,20,0,0.95
2022-11-13,28,26,0,0.93
2022-11-15,25,23,0,0.92
