date,total,filter,remove,ratio
2021-12-26,23,12,0,0.52
2021-12-28,16,10,0,0.62
2021-12-30,21,11,0,0.52
2022-01-02,18,12,0,0.67
2022-01-08,22,12,1,0.55
2022-01-10,19,9,0,0.47
2022-01-12,21,14,0,0.67
2022-01-14,19,12,0,0.63
2022-01-16,19,10,0,0.53
2022-01-18,29,18,0,0.62
2022-01-20,22,16,0,0.73
2022-01-22,19,8,2,0.42
2022-01-24,24,17,0,0.71
2022-01-26,23,11,1,0.48
2022-01-28,19,11,0,0.58
2022-01-30,19,12,0,0.63
2022-02-02,24,18,0,0.75
2022-02-04,27,11,0,0.41
2022-02-06,26,10,0,0.38
2022-02-08,21,12,0,0.57
2022-02-10,35,22,0,0.63
2022-02-12,29,14,0,0.48
2022-02-14,18,12,0,0.67
2022-02-16,27,13,0,0.48
2022-02-18,25,13,0,0.52
2022-02-20,29,13,0,0.45
2022-02-22,20,8,0,0.4
2022-02-26,17,10,0,0.59
2022-02-28,31,21,0,0.68
2022-03-02,23,18,0,0.78
2022-03-04,17,13,0,0.76
2022-03-06,18,8,0,0.44
2022-03-08,19,14,3,0.74
2022-03-10,31,18,0,0.58
2022-03-12,25,15,2,0.6
2022-03-14,35,18,0,0.51
2022-03-16,20,11,0,0.55
2022-03-18,24,9,0,0.38
2022-03-20,25,18,0,0.72
2022-03-22,18,6,0,0.33
2022-03-24,18,12,0,0.67
2022-03-26,20,10,2,0.5
2022-03-28,23,16,0,0.7
2022-03-30,18,7,2,0.39
2022-04-02,23,9,0,0.39
2022-04-04,48,32,0,0.67
2022-04-06,33,13,0,0.39
2022-04-08,43,33,2,0.77
2022-04-10,37,15,0,0.41
2022-04-12,40,21,0,0.52
2022-04-14,28,12,4,0.43
2022-04-16,29,21,0,0.72
2022-04-18,50,28,0,0.56
2022-04-20,25,12,6,0.48
2022-04-22,54,29,0,0.54
2022-04-24,37,17,0,0.46
2022-04-26,62,36,0,0.58
2022-04-28,39,24,0,0.62
2022-04-30,36,22,0,0.61
2022-05-02,34,22,0,0.65
2022-05-04,49,26,0,0.53
2022-05-06,38,24,0,0.63
2022-05-08,37,20,3,0.54
2022-05-10,31,12,0,0.39
2022-05-12,46,19,0,0.41
2022-05-14,33,25,0,0.76
2022-05-16,30,15,0,0.5
2022-05-18,58,33,0,0.57
2022-05-20,33,17,0,0.52
2022-05-22,40,30,0,0.75
2022-05-24,31,16,0,0.52
2022-05-26,37,19,0,0.51
2022-06-02,39,24,0,0.62
2022-06-04,35,24,0,0.69
2022-06-06,39,18,0,0.46
2022-06-08,36,28,0,0.78
2022-06-10,45,31,2,0.69
2022-06-12,46,37,0,0.8
2022-06-14,47,22,0,0.47
2022-06-16,42,21,0,0.5
2022-06-18,28,17,6,0.61
2022-06-20,28,10,0,0.36
2022-06-22,50,26,0,0.52
2022-06-24,43,20,0,0.47
2022-06-26,41,18,0,0.44
2022-06-28,48,35,0,0.73
2022-06-30,34,21,0,0.62
2022-07-02,35,17,1,0.49
2022-07-04,34,21,0,0.62
2022-07-06,41,24,0,0.59
2022-07-08,40,22,0,0.55
2022-07-10,35,15,1,0.43
2022-07-12,33,15,0,0.45
2022-07-14,30,14,0,0.47
2022-07-16,36,22,0,0.61
2022-07-18,36,21,0,0.58
2022-07-20,42,29,0,0.69
2022-07-22,52,22,0,0.42
2022-07-24,59,40,0,0.68
2022-07-26,41,14,0,0.34
2022-07-28,31,16,0,0.52
2022-07-30,45,34,0,0.76
2022-08-02,43,18,0,0.42
2022-08-04,48,36,0,0.75
2022-08-06,35,12,2,0.34
2022-08-08,48,35,0,0.73
2022-08-10,31,16,0,0.52
2022-08-12,36,23,0,0.64
2022-08-14,38,17,0,0.45
2022-08-16,34,26,0,0.76
2022-08-18,59,22,0,0.37
2022-08-20,40,19,0,0.48
2022-08-22,36,16,0,0.44
2022-08-24,47,27,0,0.57
2022-08-26,43,26,3,0.6
2022-08-28,46,24,0,0.52
2022-08-30,45,23,0,0.51
2022-09-02,57,42,0,0.74
2022-09-04,38,23,0,0.61
2022-09-06,35,16,3,0.46
2022-09-08,37,18,3,0.49
2022-09-10,49,34,0,0.69
2022-09-12,31,20,0,0.65
2022-09-14,34,24,0,0.71
2022-09-16,35,23,0,0.66
2022-09-18,45,19,0,0.42
2022-09-20,41,21,0,0.51
2022-09-22,38,26,0,0.68
2022-09-24,35,25,0,0.71
2022-09-26,38,27,0,0.71
2022-09-28,33,16,0,0.48
2022-09-30,45,27,0,0.6
2022-10-02,45,19,0,0.42
2022-10-04,41,24,0,0.59
2022-10-06,50,20,0,0.4
2022-10-08,36,19,0,0.53
2022-10-10,33,24,0,0.73
2022-10-12,44,29,0,0.66
2022-10-14,31,24,0,0.77
2022-10-16,33,24,0,0.73
2022-10-18,29,22,0,0.76
2022-10-20,26,16,0,0.62
2022-10-22,31,22,0,0.71
2022-10-24,24,15,0,0.62
2022-10-26,28,20,0,0.71
2022-10-28,22,14,0,0.64
2022-10-30,25,18,0,0.72
2022-11-01,21,14,0,0.67
2022-11-03,19,14,0,0.74
2022-11-05,36,22,0,0.61
2022-11-07,34,22,0,0.65
2022-11-09,38,24,0,0.63
2022-11-11,21,11,0,0.52
2022-11-13,28,16,0,0.57
2022-11-15,25,16,0,0.64
2022-11-17,20,13,0,0.65
2022-11-19,20,15,0,0.75
2022-11-21,22,16,0,0.73
2022-11-23,20,12,0,0.6
2022-11-25,17,12,0,0.71
2022-11-27,27,20,0,0.74
2022-11-30,22,14,0,0.64
2022-12-02,21,14,0,0.67
2022-12-04,22,16,0,0.73
2022-12-06,24,14,0,0.58
2022-12-08,20,13,0,0.65
2022-12-10,24,14,0,0.58
2022-12-12,16,11,0,0.69
2022-12-14,19,12,0,0.63
2022-12-16,22,15,0,0.68
2022-12-18,18,11,0,0.61
2022-12-20,22,13,0,0.59
2022-12-22,22,13,0,0.59
2022-12-24,18,12,0,0.67
2022-12-26,25,17,0,0.68
2022-12-28,20,12,0,0.6
2022-12-30,26,16,0,0.62
2023-01-01,16,12,0,0.75
2023-01-03,26,18,0,0.69
