date,total,filter,remove,ratio
2021-12-26,23,20,0,0.87
2021-12-28,16,15,0,0.94
2021-12-30,21,19,0,0.9
2022-01-02,15,13,3,0.87
2022-01-08,23,20,0,0.87
2022-01-10,19,17,0,0.89
2022-01-12,21,19,0,0.9
2022-01-14,19,18,0,0.95
2022-01-16,19,18,0,0.95
2022-01-18,29,25,0,0.86
2022-01-20,22,21,0,0.95
2022-01-22,21,20,0,0.95
2022-01-24,24,22,0,0.92
2022-01-26,24,22,0,0.92
2022-01-28,19,18,0,0.95
2022-01-30,19,17,0,0.89
2022-02-02,24,21,0,0.88
2022-02-04,27,23,0,0.85
2022-02-06,26,25,0,0.96
2022-02-08,21,18,0,0.86
2022-02-10,35,33,0,0.94
2022-02-12,29,26,0,0.9
2022-02-14,18,15,0,0.83
2022-02-16,27,24,0,0.89
2022-02-18,25,22,0,0.88
2022-02-20,29,25,0,0.86
2022-02-22,17,15,3,0.88
2022-02-26,17,15,0,0.88
2022-02-28,31,29,0,0.94
2022-03-02,23,22,0,0.96
2022-03-04,17,16,0,0.94
2022-03-06,18,16,0,0.89
2022-03-08,22,20,0,0.91
2022-03-10,31,27,0,0.87
2022-03-12,27,24,0,0.89
2022-03-14,35,34,0,0.97
2022-03-16,20,17,0,0.85
2022-03-18,24,21,0,0.88
2022-03-20,25,24,0,0.96
2022-03-22,18,17,0,0.94
2022-03-24,18,16,0,0.89
2022-03-26,22,20,0,0.91
2022-03-28,23,22,0,0.96
2022-03-30,18,16,2,0.89
2022-04-02,23,22,0,0.96
2022-04-04,48,44,0,0.92
2022-04-06,33,31,0,0.94
2022-04-08,45,42,0,0.93
2022-04-10,37,32,0,0.86
2022-04-12,35,31,5,0.89
2022-04-14,32,30,0,0.94
2022-04-16,29,26,0,0.9
2022-04-18,50,47,0,0.94
2022-04-20,31,29,0,0.94
2022-04-22,54,48,0,0.89
2022-04-24,36,33,1,0.92
2022-04-26,57,53,5,0.93
2022-04-28,38,33,1,0.87
2022-04-30,36,35,0,0.97
2022-05-02,34,31,0,0.91
2022-05-04,49,44,0,0.9
2022-05-06,37,35,1,0.95
2022-05-08,38,35,2,0.92
2022-05-10,26,24,5,0.92
2022-05-12,46,44,0,0.96
2022-05-14,33,32,0,0.97
2022-05-16,30,29,0,0.97
2022-05-18,58,56,0,0.97
2022-05-20,33,31,0,0.94
2022-05-22,40,37,0,0.92
2022-05-24,31,28,0,0.9
2022-05-26,37,35,0,0.95
2022-06-02,34,29,5,0.85
2022-06-04,35,33,0,0.94
2022-06-06,39,38,0,0.97
2022-06-08,36,32,0,0.89
2022-06-10,47,43,0,0.91
2022-06-12,46,43,0,0.93
2022-06-14,47,43,0,0.91
2022-06-16,42,39,0,0.93
2022-06-18,34,32,0,0.94
2022-06-20,28,27,0,0.96
2022-06-22,50,45,0,0.9
2022-06-24,43,38,0,0.88
2022-06-26,41,38,0,0.93
2022-06-28,47,45,1,0.96
2022-06-30,34,30,0,0.88
2022-07-02,36,34,0,0.94
2022-07-04,34,30,0,0.88
2022-07-06,41,40,0,0.98
2022-07-08,38,34,2,0.89
2022-07-10,34,31,2,0.91
2022-07-12,33,32,0,0.97
2022-07-14,30,29,0,0.97
2022-07-16,36,33,0,0.92
2022-07-18,36,34,0,0.94
2022-07-20,40,38,2,0.95
