date,total,filter,remove,ratio
2021-12-26,19,11,4,0.58
2021-12-28,16,10,0,0.62
2021-12-30,19,13,2,0.68
2022-01-02,18,13,0,0.72
2022-01-08,23,14,0,0.61
2022-01-10,19,12,0,0.63
2022-01-12,19,7,2,0.37
2022-01-14,19,10,0,0.53
2022-01-16,19,7,0,0.37
2022-01-18,29,15,0,0.52
2022-01-20,22,17,0,0.77
2022-01-22,21,14,0,0.67
2022-01-24,24,18,0,0.75
2022-01-26,24,14,0,0.58
2022-01-28,19,11,0,0.58
2022-01-30,19,11,0,0.58
2022-02-02,24,12,0,0.5
2022-02-04,24,19,3,0.79
2022-02-06,26,10,0,0.38
2022-02-08,21,17,0,0.81
2022-02-10,35,22,0,0.63
2022-02-12,29,19,0,0.66
2022-02-14,18,9,0,0.5
2022-02-16,27,13,0,0.48
2022-02-18,25,18,0,0.72
2022-02-20,25,18,4,0.72
2022-02-22,20,9,0,0.45
2022-02-26,17,9,0,0.53
2022-02-28,31,23,0,0.74
2022-03-02,21,10,2,0.48
2022-03-04,17,7,0,0.41
2022-03-06,18,7,0,0.39
2022-03-08,22,10,0,0.45
2022-03-10,31,15,0,0.48
2022-03-12,27,17,0,0.63
2022-03-14,35,25,0,0.71
2022-03-16,20,10,0,0.5
2022-03-18,24,16,0,0.67
2022-03-20,22,11,3,0.5
2022-03-22,18,7,0,0.39
2022-03-24,18,9,0,0.5
2022-03-26,22,11,0,0.5
2022-03-28,23,13,0,0.57
2022-03-30,20,10,0,0.5
2022-04-02,23,15,0,0.65
2022-04-04,48,35,0,0.73
2022-04-06,33,24,0,0.73
2022-04-08,45,20,0,0.44
2022-04-10,37,28,0,0.76
2022-04-12,40,31,0,0.78
2022-04-14,32,21,0,0.66
2022-04-16,29,22,0,0.76
2022-04-18,50,24,0,0.48
2022-04-20,25,15,6,0.6
2022-04-22,54,34,0,0.63
2022-04-24,35,14,2,0.4
2022-04-26,62,29,0,0.47
2022-04-28,39,27,0,0.69
2022-04-30,36,14,0,0.39
2022-05-02,34,21,0,0.62
2022-05-04,49,26,0,0.53
2022-05-06,37,17,1,0.46
2022-05-08,39,16,1,0.41
2022-05-10,27,13,4,0.48
2022-05-12,46,28,0,0.61
2022-05-14,33,21,0,0.64
2022-05-16,30,19,0,0.63
2022-05-18,56,36,2,0.64
2022-05-20,33,23,0,0.7
2022-05-22,40,21,0,0.52
2022-05-24,31,19,0,0.61
2022-05-26,37,29,0,0.78
2022-06-02,39,20,0,0.51
2022-06-04,35,21,0,0.6
2022-06-06,39,17,0,0.44
2022-06-08,36,16,0,0.44
2022-06-10,47,33,0,0.7
2022-06-12,46,29,0,0.63
2022-06-14,47,31,0,0.66
2022-06-16,42,34,0,0.81
2022-06-18,34,22,0,0.65
2022-06-20,28,12,0,0.43
2022-06-22,50,23,0,0.46
2022-06-24,43,22,0,0.51
2022-06-26,41,25,0,0.61
2022-06-28,48,24,0,0.5
2022-06-30,30,16,4,0.53
2022-07-02,36,27,0,0.75
2022-07-04,34,19,0,0.56
2022-07-06,41,19,0,0.46
2022-07-08,40,26,0,0.65
2022-07-10,36,28,0,0.78
2022-07-12,33,15,0,0.45
2022-07-14,30,13,0,0.43
2022-07-16,36,26,0,0.72
2022-07-18,36,18,0,0.5
2022-07-20,39,14,3,0.36
2022-07-22,52,35,0,0.67
2022-07-24,59,45,0,0.76
2022-07-26,41,17,0,0.41
2022-07-28,31,22,0,0.71
2022-07-30,45,32,0,0.71
2022-08-02,43,32,0,0.74
2022-08-04,48,32,0,0.67
2022-08-06,37,26,0,0.7
2022-08-08,48,31,0,0.65
2022-08-10,31,11,0,0.35
2022-08-12,35,23,1,0.66
2022-08-14,38,20,0,0.53
2022-08-16,34,13,0,0.38
2022-08-18,59,38,0,0.64
2022-08-20,40,29,0,0.72
2022-08-22,36,15,0,0.42
2022-08-24,47,27,0,0.57
2022-08-26,45,27,1,0.6
2022-08-28,46,35,0,0.76
2022-08-30,45,31,0,0.69
2022-09-02,57,30,0,0.53
2022-09-04,38,17,0,0.45
2022-09-06,34,14,4,0.41
2022-09-08,40,29,0,0.72
2022-09-10,49,34,0,0.69
2022-09-12,31,24,0,0.77
2022-09-14,34,13,0,0.38
2022-09-16,35,23,0,0.66
2022-09-18,45,28,0,0.62
2022-09-20,41,20,0,0.49
2022-09-22,38,26,0,0.68
2022-09-24,32,22,3,0.69
2022-09-26,38,16,0,0.42
2022-09-28,33,20,0,0.61
2022-09-30,45,22,0,0.49
2022-10-02,45,36,0,0.8
2022-10-04,41,25,0,0.61
2022-10-06,50,26,0,0.52
2022-10-08,36,22,0,0.61
2022-10-10,33,26,0,0.79
2022-10-12,44,26,0,0.59
2022-10-14,31,21,0,0.68
2022-10-16,33,22,0,0.67
2022-10-18,29,21,0,0.72
2022-10-20,26,17,0,0.65
2022-10-22,31,22,0,0.71
2022-10-24,24,19,0,0.79
2022-10-26,28,19,0,0.68
2022-10-28,22,16,0,0.73
2022-10-30,25,18,0,0.72
2022-11-01,21,16,0,0.76
2022-11-03,19,13,0,0.68
2022-11-05,36,27,0,0.75
2022-11-07,34,21,0,0.62
2022-11-09,38,30,0,0.79
2022-11-11,21,15,0,0.71
2022-11-13,28,18,0,0.64
2022-11-15,25,15,0,0.6
2022-11-17,20,16,0,0.8
2022-11-19,20,14,0,0.7
2022-11-21,22,14,0,0.64
2022-11-23,20,14,0,0.7
2022-11-25,17,10,0,0.59
2022-11-27,27,21,0,0.78
2022-11-30,22,16,0,0.73
2022-12-02,21,15,0,0.71
2022-12-04,22,15,0,0.68
2022-12-06,24,15,0,0.62
2022-12-08,20,15,0,0.75
2022-12-10,24,14,0,0.58
2022-12-12,16,11,0,0.69
2022-12-14,19,13,0,0.68
2022-12-16,22,13,0,0.59
2022-12-18,18,11,0,0.61
2022-12-20,22,13,0,0.59
2022-12-22,22,17,0,0.77
2022-12-24,18,13,0,0.72
2022-12-26,25,18,0,0.72
2022-12-28,20,16,0,0.8
2022-12-30,26,17,0,0.65
2023-01-01,16,10,0,0.62
2023-01-03,26,20,0,0.77
2023-01-05,15,9,0,0.6
2023-01-07,25,16,0,0.64
2023-01-09,24,16,0,0.67
2023-01-13,28,19,0,0.68
2023-01-15,36,24,0,0.67
2023-01-17,24,16,0,0.67
2023-01-19,39,30,0,0.77
2023-01-21,35,25,0,0.71
2023-01-23,23,14,0,0.61
2023-01-26,30,22,0,0.73
2023-01-28,28,19,0,0.68
2023-02-01,30,22,0,0.73
2023-02-01,27,20,0,0.74
2023-02-01,25,19,0,0.76
2023-02-01,31,19,0,0.61
2023-02-01,24,18,0,0.75
2023-02-03,33,23,0,0.7
2023-02-05,28,18,0,0.64
2023-02-07,23,15,0,0.65
2023-02-09,31,22,0,0.71
2023-02-11,36,27,0,0.75
2023-02-13,24,16,0,0.67
2023-02-15,34,25,0,0.74
2023-02-17,24,19,0,0.79
2023-02-19,30,18,0,0.6
2023-02-21,26,19,0,0.73
2023-02-23,38,28,0,0.74
2023-02-25,22,15,0,0.68
2023-02-27,30,21,0,0.7
2023-03-01,31,21,0,0.68
2023-03-03,33,24,0,0.73
2023-03-05,28,20,0,0.71
2023-03-07,34,26,0,0.76
2023-03-09,33,26,0,0.79
2023-03-11,27,20,0,0.74
2023-03-13,30,19,0,0.63
2023-03-16,34,26,0,0.76
2023-03-18,22,15,0,0.68
2023-03-20,34,27,0,0.79
2023-03-22,24,15,0,0.62
2023-03-24,36,27,0,0.75
2023-03-26,26,19,0,0.73
2023-04-02,24,19,0,0.79
2023-04-04,31,24,0,0.77
