date,total,filter,remove,ratio
2021-12-26,23,11,0,0.48
2021-12-28,13,6,3,0.46
2021-12-30,21,5,0,0.24
2022-01-02,18,8,0,0.44
2022-01-08,23,6,0,0.26
2022-01-10,19,6,0,0.32
2022-01-12,21,9,0,0.43
2022-01-14,19,2,0,0.11
2022-01-16,17,6,2,0.35
2022-01-18,29,5,0,0.17
2022-01-20,22,6,0,0.27
2022-01-22,21,12,0,0.57
2022-01-24,24,8,0,0.33
2022-01-26,24,2,0,0.08
2022-01-28,19,4,0,0.21
2022-01-30,19,4,0,0.21
2022-02-02,24,7,0,0.29
2022-02-04,27,14,0,0.52
2022-02-06,26,11,0,0.42
2022-02-08,21,8,0,0.38
2022-02-10,35,8,0,0.23
2022-02-12,29,8,0,0.28
2022-02-14,12,1,6,0.08
2022-02-16,27,17,0,0.63
2022-02-18,25,6,0,0.24
2022-02-20,29,12,0,0.41
2022-02-22,20,8,0,0.4
2022-02-26,17,6,0,0.35
2022-02-28,31,16,0,0.52
2022-03-02,23,8,0,0.35
2022-03-04,17,4,0,0.24
2022-03-06,18,6,0,0.33
2022-03-08,22,5,0,0.23
2022-03-10,31,12,0,0.39
2022-03-12,27,11,0,0.41
2022-03-14,35,5,0,0.14
2022-03-16,20,6,0,0.3
2022-03-18,19,8,5,0.42
2022-03-20,25,3,0,0.12
2022-03-22,17,3,1,0.18
2022-03-24,18,7,0,0.39
2022-03-26,22,10,0,0.45
2022-03-28,23,16,0,0.7
2022-03-30,20,6,0,0.3
2022-04-02,20,7,3,0.35
2022-04-04,48,6,0,0.12
2022-04-06,33,6,0,0.18
2022-04-08,45,9,0,0.2
2022-04-10,37,19,0,0.51
2022-04-12,40,22,0,0.55
2022-04-14,32,13,0,0.41
2022-04-16,26,11,3,0.42
2022-04-18,50,14,0,0.28
2022-04-20,31,21,0,0.68
2022-04-22,54,24,0,0.44
2022-04-24,37,9,0,0.24
2022-04-26,62,25,0,0.4
2022-04-28,37,13,2,0.35
2022-04-30,36,17,0,0.47
2022-05-02,34,18,0,0.53
2022-05-04,48,21,1,0.44
2022-05-06,38,9,0,0.24
2022-05-08,40,18,0,0.45
2022-05-10,31,10,0,0.32
2022-05-12,43,9,3,0.21
2022-05-14,33,10,0,0.3
2022-05-16,30,6,0,0.2
2022-05-18,58,26,0,0.45
2022-05-20,33,11,0,0.33
2022-05-22,40,9,0,0.22
2022-05-24,31,12,0,0.39
2022-05-26,37,17,0,0.46
2022-06-02,39,17,0,0.44
2022-06-04,35,13,0,0.37
2022-06-06,39,18,0,0.46
2022-06-08,36,4,0,0.11
2022-06-10,47,4,0,0.09
2022-06-12,46,25,0,0.54
2022-06-14,47,18,0,0.38
2022-06-16,42,11,0,0.26
2022-06-18,34,7,0,0.21
2022-06-20,28,13,0,0.46
2022-06-22,50,22,0,0.44
2022-06-24,43,19,0,0.44
2022-06-26,41,19,0,0.46
2022-06-28,47,13,1,0.28
2022-06-30,34,4,0,0.12
2022-07-02,36,9,0,0.25
2022-07-04,34,16,0,0.47
2022-07-06,41,13,0,0.32
2022-07-08,40,16,0,0.4
2022-07-10,36,9,0,0.25
2022-07-12,33,5,0,0.15
