date,total,filter,remove,ratio
2021-12-26,21,5,2,0.24
2021-12-28,16,4,0,0.25
2021-12-30,20,3,1,0.15
2022-01-02,18,6,0,0.33
2022-01-08,23,8,0,0.35
2022-01-10,19,8,0,0.42
2022-01-12,21,7,0,0.33
2022-01-14,19,8,0,0.42
2022-01-16,19,7,0,0.37
2022-01-18,29,7,0,0.24
2022-01-20,22,9,0,0.41
2022-01-22,18,4,3,0.22
2022-01-24,24,9,0,0.38
2022-01-26,24,6,0,0.25
2022-01-28,19,8,0,0.42
2022-01-30,19,4,0,0.21
2022-02-02,24,8,0,0.33
2022-02-04,22,4,5,0.18
2022-02-06,26,5,0,0.19
2022-02-08,21,6,0,0.29
2022-02-10,35,13,0,0.37
2022-02-12,29,11,0,0.38
2022-02-14,18,6,0,0.33
2022-02-16,27,7,0,0.26
2022-02-18,25,7,0,0.28
2022-02-20,26,7,3,0.27
2022-02-22,20,8,0,0.4
2022-02-26,17,3,0,0.18
2022-02-28,31,5,0,0.16
2022-03-02,23,5,0,0.22
2022-03-04,17,4,0,0.24
2022-03-06,18,3,0,0.17
2022-03-08,22,8,0,0.36
2022-03-10,31,7,0,0.23
2022-03-12,27,5,0,0.19
2022-03-14,35,14,0,0.4
2022-03-16,20,3,0,0.15
2022-03-18,24,7,0,0.29
2022-03-20,25,11,0,0.44
2022-03-22,18,3,0,0.17
2022-03-24,18,7,0,0.39
2022-03-26,22,8,0,0.36
2022-03-28,23,8,0,0.35
2022-03-30,20,3,0,0.15
2022-04-02,23,5,0,0.22
2022-04-04,48,10,0,0.21
2022-04-06,33,9,0,0.27
2022-04-08,43,11,2,0.26
2022-04-10,37,16,0,0.43
2022-04-12,40,11,0,0.28
2022-04-14,32,11,0,0.34
2022-04-16,29,9,0,0.31
2022-04-18,50,20,0,0.4
2022-04-20,31,9,0,0.29
2022-04-22,54,23,0,0.43
2022-04-24,37,13,0,0.35
2022-04-26,59,15,3,0.25
2022-04-28,39,14,0,0.36
2022-04-30,36,12,0,0.33
2022-05-02,34,5,0,0.15
2022-05-04,48,10,1,0.21
2022-05-06,38,10,0,0.26
2022-05-08,40,11,0,0.28
2022-05-10,31,12,0,0.39
2022-05-12,46,13,0,0.28
2022-05-14,32,7,1,0.22
2022-05-16,30,11,0,0.37
2022-05-18,58,19,0,0.33
2022-05-20,33,13,0,0.39
2022-05-22,40,15,0,0.38
2022-05-24,31,8,0,0.26
2022-05-26,36,16,1,0.44
2022-06-02,39,15,0,0.38
2022-06-04,35,14,0,0.4
2022-06-06,39,6,0,0.15
2022-06-08,36,13,0,0.36
2022-06-10,47,12,0,0.26
2022-06-12,46,16,0,0.35
2022-06-14,47,18,0,0.38
2022-06-16,42,20,0,0.48
2022-06-18,34,6,0,0.18
2022-06-20,28,10,0,0.36
2022-06-22,50,13,0,0.26
2022-06-24,43,8,0,0.19
2022-06-26,41,15,0,0.37
2022-06-28,48,14,0,0.29
2022-06-30,34,11,0,0.32
2022-07-02,36,10,0,0.28
2022-07-04,34,11,0,0.32
2022-07-06,41,13,0,0.32
2022-07-08,40,10,0,0.25
2022-07-10,36,14,0,0.39
2022-07-12,32,13,1,0.41
2022-07-14,30,9,0,0.3
2022-07-16,33,14,3,0.42
2022-07-18,36,6,0,0.17
2022-07-20,37,9,5,0.24
2022-07-22,51,24,1,0.47
2022-07-24,59,24,0,0.41
2022-07-26,41,10,0,0.24
2022-07-28,31,5,0,0.16
2022-07-30,45,10,0,0.22
2022-08-02,43,12,0,0.28
2022-08-04,48,15,0,0.31
2022-08-06,37,9,0,0.24
2022-08-08,48,16,0,0.33
2022-08-10,31,11,0,0.35
2022-08-12,36,6,0,0.17
2022-08-14,38,15,0,0.39
2022-08-16,30,5,4,0.17
2022-08-18,59,17,0,0.29
2022-08-20,40,14,0,0.35
2022-08-22,36,8,0,0.22
2022-08-24,47,16,0,0.34
2022-08-26,46,8,0,0.17
2022-08-28,46,19,0,0.41
2022-08-30,45,6,0,0.13
2022-09-02,57,13,0,0.23
2022-09-04,36,6,2,0.17
2022-09-06,38,9,0,0.24
2022-09-08,40,16,0,0.4
2022-09-10,49,19,0,0.39
2022-09-12,31,10,0,0.32
2022-09-14,34,9,0,0.26
2022-09-16,35,11,0,0.31
2022-09-18,45,11,0,0.24
2022-09-20,41,13,0,0.32
2022-09-22,38,7,0,0.18
2022-09-24,35,11,0,0.31
2022-09-26,38,13,0,0.34
2022-09-28,33,9,0,0.27
2022-09-30,45,12,0,0.27
2022-10-02,45,17,0,0.38
2022-10-04,41,16,0,0.39
2022-10-06,50,14,0,0.28
2022-10-08,36,7,0,0.19
2022-10-10,32,7,1,0.22
2022-10-12,44,21,0,0.48
2022-10-14,31,12,0,0.39
2022-10-16,33,11,0,0.33
2022-10-18,29,9,0,0.31
2022-10-20,26,11,0,0.42
2022-10-22,31,12,0,0.39
2022-10-24,24,11,0,0.46
2022-10-26,28,11,0,0.39
2022-10-28,22,9,0,0.41
2022-10-30,25,11,0,0.44
2022-11-01,21,9,0,0.43
2022-11-03,19,8,0,0.42
2022-11-05,36,13,0,0.36
2022-11-07,34,15,0,0.44
2022-11-09,38,13,0,0.34
2022-11-11,21,7,0,0.33
2022-11-13,28,11,0,0.39
2022-11-15,25,10,0,0.4
2022-11-17,20,6,0,0.3
2022-11-19,20,7,0,0.35
2022-11-21,22,9,0,0.41
2022-11-23,20,6,0,0.3
2022-11-25,17,6,0,0.35
2022-11-27,27,12,0,0.44
2022-11-30,22,7,0,0.32
2022-12-02,21,8,0,0.38
2022-12-04,22,7,0,0.32
2022-12-06,24,7,0,0.29
2022-12-08,20,9,0,0.45
2022-12-10,24,10,0,0.42
2022-12-12,16,5,0,0.31
2022-12-14,19,7,0,0.37
2022-12-16,22,9,0,0.41
2022-12-18,18,6,0,0.33
2022-12-20,22,9,0,0.41
2022-12-22,22,10,0,0.45
2022-12-24,18,7,0,0.39
2022-12-26,25,9,0,0.36
2022-12-28,20,9,0,0.45
2022-12-30,26,10,0,0.38
2023-01-01,16,5,0,0.31
2023-01-03,26,11,0,0.42
2023-01-05,15,5,0,0.33
2023-01-07,25,9,0,0.36
2023-01-09,24,10,0,0.42
2023-01-13,28,13,0,0.46
2023-01-15,36,12,0,0.33
2023-01-17,24,10,0,0.42
2023-01-19,39,14,0,0.36
2023-01-21,35,12,0,0.34
2023-01-23,23,10,0,0.43
2023-01-26,30,12,0,0.4
2023-01-28,28,11,0,0.39
2023-02-01,30,10,0,0.33
2023-02-01,27,11,0,0.41
2023-02-01,25,10,0,0.4
2023-02-01,31,11,0,0.35
2023-02-01,24,10,0,0.42
2023-02-01,26,9,0,0.35
2023-02-03,33,14,0,0.42
2023-02-05,28,12,0,0.43
2023-02-07,23,9,0,0.39
2023-02-09,31,11,0,0.35
2023-02-11,36,12,0,0.33
2023-02-13,24,7,0,0.29
2023-02-15,34,11,0,0.32
2023-02-17,24,10,0,0.42
2023-02-19,30,14,0,0.47
2023-02-21,26,11,0,0.42
2023-02-23,38,16,0,0.42
2023-02-25,22,10,0,0.45
2023-02-27,30,11,0,0.37
2023-03-01,31,12,0,0.39
2023-03-03,33,15,0,0.45
2023-03-05,28,9,0,0.32
2023-03-07,34,16,0,0.47
2023-03-09,33,11,0,0.33
2023-03-11,27,10,0,0.37
2023-03-13,30,13,0,0.43
2023-03-16,34,11,0,0.32
2023-03-18,22,8,0,0.36
2023-03-20,34,13,0,0.38
2023-03-22,24,10,0,0.42
2023-03-24,36,14,0,0.39
2023-03-26,26,8,0,0.31
2023-04-02,24,8,0,0.33
2023-04-04,31,11,0,0.35
2023-04-06,32,13,0,0.41
2023-04-12,27,12,0,0.44
2023-04-14,37,15,0,0.41
2023-04-16,25,9,0,0.36
2023-04-18,35,13,0,0.37
2023-04-20,29,11,0,0.38
2023-04-22,22,9,0,0.41
2023-04-24,24,9,0,0.38
2023-04-26,36,16,0,0.44
2023-04-30,24,10,0,0.42
2023-05-02,24,9,0,0.38
2023-05-04,24,10,0,0.42
2023-05-06,25,8,0,0.32
2023-05-08,34,12,0,0.35
2023-05-10,28,10,0,0.36
2023-05-12,30,11,0,0.37
2023-05-14,32,13,0,0.41
2023-05-16,22,7,0,0.32
2023-05-18,28,11,0,0.39
2023-05-20,37,16,0,0.43
2023-05-22,22,10,0,0.45
2023-05-24,26,11,0,0.42
2023-05-26,36,14,0,0.39
2023-05-28,24,8,0,0.33
2023-05-30,27,11,0,0.41
2023-06-01,26,11,0,0.42
2023-06-03,27,12,0,0.44
2023-06-05,21,8,0,0.38
2023-06-07,36,15,0,0.42
2023-06-09,29,10,0,0.34
2023-06-09,22,9,0,0.41
2023-06-11,26,11,0,0.42
2023-06-13,27,11,0,0.41
2023-06-15,27,11,0,0.41
2023-06-17,26,11,0,0.42
2023-06-17,24,9,0,0.38
2023-06-17,26,8,0,0.31
2023-06-19,23,9,0,0.39
2023-06-21,22,9,0,0.41
2023-06-23,27,10,0,0.37
2023-06-25,22,8,0,0.36
2023-06-27,32,11,0,0.34
2023-06-29,23,9,0,0.39
2023-07-01,31,12,0,0.39
2023-07-03,25,10,0,0.4
2023-07-05,36,13,0,0.36
2023-07-07,29,12,0,0.41
2023-07-09,27,9,0,0.33
2023-07-11,25,10,0,0.4
2023-07-13,28,12,0,0.43
2023-07-15,30,12,0,0.4
2023-07-17,28,11,0,0.39
2023-07-19,28,12,0,0.43
