date,total,filter,remove,ratio
2021-12-26,20,10,3,0.5
2021-12-28,16,7,0,0.44
2021-12-30,21,12,0,0.57
2022-01-02,18,11,0,0.61
2022-01-08,21,9,2,0.43
2022-01-10,15,8,4,0.53
2022-01-12,16,7,5,0.44
2022-01-14,19,6,0,0.32
2022-01-16,19,8,0,0.42
2022-01-18,29,13,0,0.45
2022-01-20,22,14,0,0.64
2022-01-22,21,12,0,0.57
2022-01-24,24,6,0,0.25
2022-01-26,24,13,0,0.54
2022-01-28,19,7,0,0.37
2022-01-30,19,6,0,0.32
2022-02-02,24,10,0,0.42
2022-02-04,27,16,0,0.59
2022-02-06,26,6,0,0.23
2022-02-08,21,11,0,0.52
2022-02-10,35,8,0,0.23
2022-02-12,29,6,0,0.21
2022-02-14,18,5,0,0.28
2022-02-16,27,14,0,0.52
2022-02-18,25,12,0,0.48
2022-02-20,29,7,0,0.24
2022-02-22,20,11,0,0.55
2022-02-26,17,9,0,0.53
2022-02-28,26,13,5,0.5
2022-03-02,23,8,0,0.35
2022-03-04,17,7,0,0.41
2022-03-06,18,6,0,0.33
2022-03-08,22,13,0,0.59
2022-03-10,30,17,1,0.57
2022-03-12,27,9,0,0.33
2022-03-14,35,11,0,0.31
2022-03-16,20,12,0,0.6
2022-03-18,24,13,0,0.54
2022-03-20,25,5,0,0.2
2022-03-22,18,8,0,0.44
2022-03-24,18,7,0,0.39
2022-03-26,22,8,0,0.36
2022-03-28,23,12,0,0.52
2022-03-30,20,9,0,0.45
2022-04-02,23,11,0,0.48
2022-04-04,48,14,0,0.29
2022-04-06,33,13,0,0.39
2022-04-08,45,22,0,0.49
2022-04-10,37,16,0,0.43
2022-04-12,40,17,0,0.42
2022-04-14,32,9,0,0.28
2022-04-16,29,16,0,0.55
2022-04-18,50,17,0,0.34
2022-04-20,31,8,0,0.26
2022-04-22,54,19,0,0.35
2022-04-24,37,27,0,0.73
2022-04-26,62,34,0,0.55
2022-04-28,39,21,0,0.54
2022-04-30,35,18,1,0.51
2022-05-02,34,19,0,0.56
2022-05-04,49,28,0,0.57
2022-05-06,38,22,0,0.58
2022-05-08,40,21,0,0.52
2022-05-10,28,15,3,0.54
2022-05-12,46,25,0,0.54
2022-05-14,33,7,0,0.21
2022-05-16,30,15,0,0.5
2022-05-18,58,32,0,0.55
2022-05-20,33,7,0,0.21
2022-05-22,37,21,3,0.57
2022-05-24,31,17,0,0.55
2022-05-26,32,12,5,0.38
2022-06-02,39,12,0,0.31
2022-06-04,35,9,0,0.26
2022-06-06,39,17,0,0.44
2022-06-08,34,16,2,0.47
2022-06-10,46,13,1,0.28
2022-06-12,46,16,0,0.35
2022-06-14,47,19,0,0.4
2022-06-16,42,33,0,0.79
2022-06-18,31,12,3,0.39
2022-06-20,28,15,0,0.54
2022-06-22,50,23,0,0.46
2022-06-24,43,14,0,0.33
2022-06-26,41,18,0,0.44
2022-06-28,48,21,0,0.44
2022-06-30,34,20,0,0.59
2022-07-02,36,19,0,0.53
2022-07-04,34,9,0,0.26
