date,total,filter,remove,ratio
2021-12-26,22,3,1,0.14
2021-12-28,16,1,0,0.06
2021-12-30,21,0,0,0.0
2022-01-02,15,0,3,0.0
2022-01-08,23,5,0,0.22
2022-01-10,19,2,0,0.11
2022-01-12,21,0,0,0.0
2022-01-14,18,1,1,0.06
2022-01-16,17,1,2,0.06
2022-01-18,29,1,0,0.03
2022-01-20,22,2,0,0.09
2022-01-22,21,2,0,0.1
2022-01-24,24,0,0,0.0
2022-01-26,24,1,0,0.04
2022-01-28,19,0,0,0.0
2022-01-30,19,0,0,0.0
2022-02-02,24,1,0,0.04
2022-02-04,24,1,3,0.04
2022-02-06,26,1,0,0.04
2022-02-08,21,4,0,0.19
2022-02-10,35,2,0,0.06
2022-02-12,29,10,0,0.34
2022-02-14,18,2,0,0.11
2022-02-16,27,0,0,0.0
2022-02-18,25,3,0,0.12
2022-02-20,29,1,0,0.03
2022-02-22,20,3,0,0.15
2022-02-26,17,0,0,0.0
2022-02-28,31,1,0,0.03
2022-03-02,23,0,0,0.0
2022-03-04,17,3,0,0.18
2022-03-06,18,5,0,0.28
2022-03-08,22,3,0,0.14
2022-03-10,31,2,0,0.06
2022-03-12,27,4,0,0.15
2022-03-14,35,3,0,0.09
2022-03-16,20,0,0,0.0
2022-03-18,24,1,0,0.04
2022-03-20,23,1,2,0.04
2022-03-22,18,2,0,0.11
2022-03-24,18,0,0,0.0
2022-03-26,22,7,0,0.32
2022-03-28,19,2,4,0.11
2022-03-30,20,0,0,0.0
2022-04-02,23,1,0,0.04
2022-04-04,48,0,0,0.0
2022-04-06,33,12,0,0.36
2022-04-08,45,2,0,0.04
2022-04-10,37,0,0,0.0
2022-04-12,40,7,0,0.18
2022-04-14,29,0,3,0.0
2022-04-16,29,1,0,0.03
2022-04-18,50,0,0,0.0
2022-04-20,31,1,0,0.03
2022-04-22,52,0,2,0.0
2022-04-24,37,2,0,0.05
2022-04-26,62,9,0,0.15
2022-04-28,39,5,0,0.13
2022-04-30,36,1,0,0.03
2022-05-02,34,3,0,0.09
2022-05-04,49,5,0,0.1
2022-05-06,34,2,4,0.06
2022-05-08,40,5,0,0.12
2022-05-10,31,1,0,0.03
2022-05-12,46,3,0,0.07
2022-05-14,33,7,0,0.21
2022-05-16,30,1,0,0.03
2022-05-18,58,11,0,0.19
2022-05-20,33,2,0,0.06
2022-05-22,37,5,3,0.14
2022-05-24,31,0,0,0.0
2022-05-26,37,4,0,0.11
2022-06-02,39,0,0,0.0
2022-06-04,35,16,0,0.46
2022-06-06,39,5,0,0.13
2022-06-08,36,4,0,0.11
2022-06-10,47,2,0,0.04
2022-06-12,46,0,0,0.0
2022-06-14,47,2,0,0.04
2022-06-16,42,0,0,0.0
2022-06-18,34,1,0,0.03
2022-06-20,28,0,0,0.0
2022-06-22,50,2,0,0.04
2022-06-24,43,1,0,0.02
2022-06-26,41,6,0,0.15
2022-06-28,46,12,2,0.26
2022-06-30,34,3,0,0.09
2022-07-02,36,0,0,0.0
2022-07-04,34,4,0,0.12
2022-07-06,41,4,0,0.1
2022-07-08,40,1,0,0.02
2022-07-10,36,2,0,0.06
2022-07-12,33,1,0,0.03
2022-07-14,24,0,6,0.0
2022-07-16,36,4,0,0.11
2022-07-18,36,2,0,0.06
2022-07-20,42,5,0,0.12
2022-07-22,52,7,0,0.13
2022-07-24,56,2,3,0.04
2022-07-26,41,5,0,0.12
2022-07-28,31,2,0,0.06
2022-07-30,45,3,0,0.07
2022-08-02,43,6,0,0.14
2022-08-04,47,7,1,0.15
2022-08-06,35,0,2,0.0
2022-08-08,46,3,2,0.07
2022-08-10,31,10,0,0.32
2022-08-12,36,10,0,0.28
2022-08-14,38,2,0,0.05
2022-08-16,34,2,0,0.06
2022-08-18,59,6,0,0.1
2022-08-20,40,0,0,0.0
2022-08-22,36,3,0,0.08
2022-08-24,47,5,0,0.11
2022-08-26,45,5,1,0.11
2022-08-28,46,5,0,0.11
2022-08-30,45,3,0,0.07
2022-09-02,57,12,0,0.21
2022-09-04,38,2,0,0.05
2022-09-06,38,3,0,0.08
2022-09-08,40,2,0,0.05
2022-09-10,49,4,0,0.08
2022-09-12,29,4,2,0.14
2022-09-14,34,4,0,0.12
2022-09-16,35,2,0,0.06
2022-09-18,45,4,0,0.09
2022-09-20,41,6,0,0.15
2022-09-22,38,6,0,0.16
2022-09-24,34,3,1,0.09
2022-09-26,34,4,4,0.12
2022-09-28,33,4,0,0.12
2022-09-30,45,5,0,0.11
2022-10-02,41,15,4,0.37
2022-10-04,41,2,0,0.05
2022-10-06,50,0,0,0.0
2022-10-08,36,4,0,0.11
2022-10-10,33,11,0,0.33
2022-10-12,44,6,0,0.14
2022-10-14,31,11,0,0.35
2022-10-16,33,5,0,0.15
2022-10-18,29,5,0,0.17
2022-10-20,26,7,0,0.27
2022-10-22,31,8,0,0.26
2022-10-24,24,4,0,0.17
2022-10-26,28,4,0,0.14
2022-10-28,22,5,0,0.23
2022-10-30,25,7,0,0.28
2022-11-01,21,4,0,0.19
2022-11-03,19,3,0,0.16
2022-11-05,36,13,0,0.36
2022-11-07,34,14,0,0.41
2022-11-09,38,8,0,0.21
2022-11-11,21,5,0,0.24
2022-11-13,28,9,0,0.32
2022-11-15,25,4,0,0.16
2022-11-17,20,2,0,0.1
2022-11-19,20,5,0,0.25
2022-11-21,22,6,0,0.27
2022-11-23,20,4,0,0.2
2022-11-25,17,5,0,0.29
2022-11-27,27,7,0,0.26
2022-11-30,22,2,0,0.09
2022-12-02,21,7,0,0.33
2022-12-04,22,6,0,0.27
2022-12-06,24,10,0,0.42
2022-12-08,20,7,0,0.35
2022-12-10,24,6,0,0.25
