date,total,filter,remove,ratio
2021-12-26,23,13,0,0.57
2021-12-28,16,10,0,0.62
2021-12-30,21,16,0,0.76
2022-01-02,18,14,0,0.78
2022-01-08,23,20,0,0.87
2022-01-10,13,9,6,0.69
2022-01-12,21,10,0,0.48
2022-01-14,19,10,0,0.53
2022-01-16,19,15,0,0.79
2022-01-18,29,15,0,0.52
2022-01-20,22,18,0,0.82
2022-01-22,21,14,0,0.67
2022-01-24,24,12,0,0.5
2022-01-26,24,17,0,0.71
2022-01-28,19,15,0,0.79
2022-01-30,19,11,0,0.58
2022-02-02,24,18,0,0.75
2022-02-04,27,18,0,0.67
2022-02-06,26,20,0,0.77
2022-02-08,21,13,0,0.62
2022-02-10,32,17,3,0.53
2022-02-12,29,16,0,0.55
2022-02-14,18,13,0,0.72
2022-02-16,27,17,0,0.63
2022-02-18,21,11,4,0.52
2022-02-20,29,19,0,0.66
2022-02-22,20,11,0,0.55
2022-02-26,17,10,0,0.59
2022-02-28,30,24,1,0.8
2022-03-02,23,10,0,0.43
2022-03-04,17,14,0,0.82
2022-03-06,18,7,0,0.39
2022-03-08,22,10,0,0.45
2022-03-10,31,28,0,0.9
2022-03-12,27,11,0,0.41
2022-03-14,35,24,0,0.69
2022-03-16,20,16,0,0.8
2022-03-18,24,12,0,0.5
2022-03-20,25,14,0,0.56
2022-03-22,18,10,0,0.56
2022-03-24,14,11,4,0.79
2022-03-26,22,17,0,0.77
2022-03-28,23,14,0,0.61
2022-03-30,20,17,0,0.85
2022-04-02,23,15,0,0.65
2022-04-04,48,33,0,0.69
2022-04-06,29,21,4,0.72
2022-04-08,45,31,0,0.69
2022-04-10,37,23,0,0.62
2022-04-12,40,22,0,0.55
2022-04-14,32,22,0,0.69
2022-04-16,29,21,0,0.72
2022-04-18,49,33,1,0.67
2022-04-20,31,24,0,0.77
2022-04-22,54,39,0,0.72
2022-04-24,37,24,0,0.65
2022-04-26,62,37,0,0.6
2022-04-28,38,32,1,0.84
2022-04-30,36,23,0,0.64
2022-05-02,34,24,0,0.71
2022-05-04,49,31,0,0.63
2022-05-06,38,18,0,0.47
2022-05-08,40,21,0,0.52
2022-05-10,31,22,0,0.71
2022-05-12,46,29,0,0.63
2022-05-14,33,21,0,0.64
2022-05-16,30,17,0,0.57
2022-05-18,58,46,0,0.79
2022-05-20,33,22,0,0.67
2022-05-22,40,31,0,0.78
2022-05-24,29,14,2,0.48
2022-05-26,37,27,0,0.73
2022-06-02,39,33,0,0.85
2022-06-04,35,28,0,0.8
2022-06-06,39,25,0,0.64
2022-06-08,36,24,0,0.67
2022-06-10,45,26,2,0.58
2022-06-12,44,38,2,0.86
2022-06-14,45,21,2,0.47
2022-06-16,42,24,0,0.57
2022-06-18,34,23,0,0.68
2022-06-20,28,19,0,0.68
2022-06-22,50,41,0,0.82
2022-06-24,43,26,0,0.6
2022-06-26,41,21,0,0.51
2022-06-28,48,36,0,0.75
2022-06-30,34,25,0,0.74
2022-07-02,36,19,0,0.53
2022-07-04,34,19,0,0.56
2022-07-06,41,34,0,0.83
2022-07-08,40,21,0,0.52
2022-07-10,36,20,0,0.56
2022-07-12,33,22,0,0.67
2022-07-14,30,15,0,0.5
2022-07-16,36,20,0,0.56
2022-07-18,36,21,0,0.58
2022-07-20,42,32,0,0.76
2022-07-22,52,32,0,0.62
2022-07-24,59,29,0,0.49
2022-07-26,38,23,3,0.61
2022-07-28,31,23,0,0.74
2022-07-30,45,32,0,0.71
2022-08-02,43,35,0,0.81
2022-08-04,48,27,0,0.56
2022-08-06,37,31,0,0.84
2022-08-08,48,31,0,0.65
2022-08-10,31,27,0,0.87
2022-08-12,36,20,0,0.56
2022-08-14,38,30,0,0.79
2022-08-16,30,25,4,0.83
2022-08-18,59,47,0,0.8
2022-08-20,40,34,0,0.85
2022-08-22,36,30,0,0.83
2022-08-24,47,34,0,0.72
2022-08-26,45,28,1,0.62
2022-08-28,46,28,0,0.61
2022-08-30,44,21,1,0.48
2022-09-02,57,38,0,0.67
2022-09-04,38,29,0,0.76
2022-09-06,38,20,0,0.53
2022-09-08,40,23,0,0.57
2022-09-10,49,28,0,0.57
2022-09-12,29,24,2,0.83
2022-09-14,34,22,0,0.65
2022-09-16,32,24,3,0.75
2022-09-18,45,26,0,0.58
2022-09-20,38,19,3,0.5
2022-09-22,38,26,0,0.68
2022-09-24,35,19,0,0.54
2022-09-26,38,26,0,0.68
2022-09-28,27,23,6,0.85
2022-09-30,45,29,0,0.64
2022-10-02,45,29,0,0.64
2022-10-04,41,35,0,0.85
2022-10-06,50,32,0,0.64
2022-10-08,36,26,0,0.72
2022-10-10,33,29,0,0.88
2022-10-12,44,31,0,0.7
2022-10-14,31,27,0,0.87
2022-10-16,33,22,0,0.67
2022-10-18,29,21,0,0.72
2022-10-20,26,19,0,0.73
2022-10-22,31,21,0,0.68
2022-10-24,24,17,0,0.71
2022-10-26,28,24,0,0.86
2022-10-28,22,19,0,0.86
2022-10-30,25,16,0,0.64
2022-11-01,21,15,0,0.71
2022-11-03,19,13,0,0.68
2022-11-05,36,27,0,0.75
2022-11-07,34,27,0,0.79
2022-11-09,38,28,0,0.74
2022-11-11,21,14,0,0.67
2022-11-13,28,24,0,0.86
2022-11-15,25,20,0,0.8
2022-11-17,20,17,0,0.85
2022-11-19,20,17,0,0.85
2022-11-21,22,19,0,0.86
2022-11-23,20,14,0,0.7
2022-11-25,17,13,0,0.76
2022-11-27,27,23,0,0.85
2022-11-30,22,17,0,0.77
