date,total,filter,remove,ratio
2021-12-26,21,21,2,1.0
2021-12-28,16,16,0,1.0
2021-12-30,19,19,2,1.0
2022-01-02,18,18,0,1.0
2022-01-08,20,20,3,1.0
2022-01-10,19,19,0,1.0
2022-01-12,21,21,0,1.0
2022-01-14,19,19,0,1.0
2022-01-16,19,19,0,1.0
2022-01-18,29,29,0,1.0
2022-01-20,22,22,0,1.0
2022-01-22,21,21,0,1.0
2022-01-24,24,24,0,1.0
2022-01-26,24,24,0,1.0
2022-01-28,19,19,0,1.0
2022-01-30,19,19,0,1.0
2022-02-02,24,24,0,1.0
2022-02-04,27,27,0,1.0
2022-02-06,26,26,0,1.0
2022-02-08,21,21,0,1.0
2022-02-10,34,34,1,1.0
2022-02-12,29,29,0,1.0
2022-02-14,18,18,0,1.0
2022-02-16,27,27,0,1.0
2022-02-18,25,25,0,1.0
2022-02-20,29,29,0,1.0
2022-02-22,20,20,0,1.0
2022-02-26,17,17,0,1.0
2022-02-28,26,26,5,1.0
2022-03-02,19,19,4,1.0
2022-03-04,13,13,4,1.0
2022-03-06,18,18,0,1.0
2022-03-08,21,21,1,1.0
2022-03-10,28,28,3,1.0
2022-03-12,27,27,0,1.0
2022-03-14,35,35,0,1.0
2022-03-16,19,19,1,1.0
2022-03-18,24,24,0,1.0
2022-03-20,25,25,0,1.0
2022-03-22,18,18,0,1.0
2022-03-24,18,18,0,1.0
2022-03-26,22,22,0,1.0
2022-03-28,23,23,0,1.0
2022-03-30,20,20,0,1.0
2022-04-02,23,23,0,1.0
2022-04-04,48,48,0,1.0
2022-04-06,33,33,0,1.0
2022-04-08,45,0,0,0.0
2022-04-10,37,0,0,0.0
2022-04-12,40,0,0,0.0
2022-04-14,32,0,0,0.0
2022-04-16,29,0,0,0.0
2022-04-18,50,0,0,0.0
2022-04-20,31,0,0,0.0
2022-04-22,54,0,0,0.0
2022-04-24,37,0,0,0.0
2022-04-26,62,0,0,0.0
2022-04-28,39,0,0,0.0
2022-04-30,36,0,0,0.0
2022-05-02,34,0,0,0.0
2022-05-04,48,0,1,0.0
2022-05-06,35,0,3,0.0
2022-05-08,40,0,0,0.0
2022-05-10,26,0,5,0.0
2022-05-12,46,0,0,0.0
2022-05-14,33,0,0,0.0
2022-05-16,30,0,0,0.0
2022-05-18,57,0,1,0.0
2022-05-20,33,0,0,0.0
2022-05-22,35,0,5,0.0
2022-05-24,29,0,2,0.0
2022-05-26,37,0,0,0.0
2022-06-02,39,0,0,0.0
2022-06-04,35,0,0,0.0
2022-06-06,39,0,0,0.0
2022-06-08,34,34,2,1.0
2022-06-10,47,47,0,1.0
2022-06-12,46,46,0,1.0
2022-06-14,47,47,0,1.0
2022-06-16,42,42,0,1.0
2022-06-18,34,34,0,1.0
2022-06-20,28,28,0,1.0
2022-06-22,50,50,0,1.0
2022-06-24,43,43,0,1.0
2022-06-26,41,41,0,1.0
2022-06-28,48,48,0,1.0
2022-06-30,32,32,2,1.0
2022-07-02,36,36,0,1.0
2022-07-04,34,34,0,1.0
2022-07-06,39,39,2,1.0
2022-07-08,40,40,0,1.0
2022-07-10,36,36,0,1.0
2022-07-12,33,33,0,1.0
2022-07-14,30,30,0,1.0
2022-07-16,36,36,0,1.0
2022-07-18,36,36,0,1.0
2022-07-20,42,42,0,1.0
2022-07-22,52,52,0,1.0
2022-07-24,57,57,2,1.0
2022-07-26,41,41,0,1.0
2022-07-28,28,28,3,1.0
2022-07-30,45,45,0,1.0
2022-08-02,43,43,0,1.0
2022-08-04,45,45,3,1.0
2022-08-06,37,37,0,1.0
2022-08-08,48,48,0,1.0
2022-08-10,31,31,0,1.0
2022-08-12,35,35,1,1.0
2022-08-14,38,38,0,1.0
2022-08-16,34,34,0,1.0
2022-08-18,59,59,0,1.0
2022-08-20,40,40,0,1.0
2022-08-22,36,36,0,1.0
2022-08-24,47,47,0,1.0
2022-08-26,46,46,0,1.0
2022-08-28,46,46,0,1.0
2022-08-30,45,45,0,1.0
2022-09-02,57,57,0,1.0
2022-09-04,38,38,0,1.0
2022-09-06,38,38,0,1.0
2022-09-08,40,40,0,1.0
2022-09-10,49,49,0,1.0
2022-09-12,31,31,0,1.0
2022-09-14,34,34,0,1.0
2022-09-16,35,35,0,1.0
2022-09-18,45,45,0,1.0
2022-09-20,41,41,0,1.0
2022-09-22,38,38,0,1.0
2022-09-24,35,35,0,1.0
2022-09-26,36,36,2,1.0
2022-09-28,33,33,0,1.0
2022-09-30,45,45,0,1.0
2022-10-02,45,45,0,1.0
2022-10-04,41,41,0,1.0
2022-10-06,50,50,0,1.0
2022-10-08,31,31,5,1.0
2022-10-10,33,33,0,1.0
2022-10-12,44,44,0,1.0
2022-10-14,31,31,0,1.0
2022-10-16,33,33,0,1.0
2022-10-18,29,29,0,1.0
2022-10-20,26,26,0,1.0
2022-10-22,31,31,0,1.0
2022-10-24,24,24,0,1.0
2022-10-26,28,28,0,1.0
2022-10-28,22,22,0,1.0
2022-10-30,25,25,0,1.0
2022-11-01,21,21,0,1.0
2022-11-03,19,19,0,1.0
2022-11-05,36,36,0,1.0
2022-11-07,34,34,0,1.0
2022-11-09,38,38,0,1.0
2022-11-11,21,21,0,1.0
2022-11-13,28,28,0,1.0
2022-11-15,25,20,0,0.8
2022-11-17,20,18,0,0.9
2022-11-19,20,16,0,0.8
2022-11-21,22,18,0,0.82
2022-11-23,20,17,0,0.85
2022-11-25,17,14,0,0.82
2022-11-27,27,26,0,0.96
2022-11-30,22,19,0,0.86
2022-12-02,21,19,0,0.9
2022-12-04,22,19,0,0.86
2022-12-06,24,19,0,0.79
2022-12-08,20,18,0,0.9
2022-12-10,24,21,0,0.88
2022-12-12,16,13,0,0.81
2022-12-14,19,17,0,0.89
2022-12-16,22,19,0,0.86
2022-12-18,18,15,0,0.83
2022-12-20,22,19,0,0.86
2022-12-22,22,18,0,0.82
2022-12-24,18,16,0,0.89
2022-12-26,25,21,0,0.84
2022-12-28,20,19,0,0.95
2022-12-30,26,22,0,0.85
2023-01-01,16,14,0,0.88
2023-01-03,26,24,0,0.92
2023-01-05,15,14,0,0.93
2023-01-07,25,23,0,0.92
2023-01-09,24,20,0,0.83
2023-01-13,28,25,0,0.89
2023-01-15,36,34,0,0.94
2023-01-17,24,19,0,0.79
2023-01-19,39,37,0,0.95
2023-01-21,35,32,0,0.91
2023-01-23,23,20,0,0.87
2023-01-26,30,24,0,0.8
2023-01-28,28,24,0,0.86
2023-02-01,30,25,0,0.83
2023-02-01,27,25,0,0.93
2023-02-01,25,22,0,0.88
2023-02-01,31,29,0,0.94
2023-02-01,24,23,0,0.96
2023-02-03,33,30,0,0.91
2023-02-05,28,26,0,0.93
2023-02-07,23,22,0,0.96
2023-02-09,31,26,0,0.84
2023-02-11,36,34,0,0.94
2023-02-13,24,23,0,0.96
2023-02-15,34,28,0,0.82
2023-02-17,24,20,0,0.83
2023-02-19,30,29,0,0.97
2023-02-21,26,23,0,0.88
2023-02-23,38,37,0,0.97
2023-02-25,22,21,0,0.95
2023-02-27,30,25,0,0.83
2023-03-01,31,25,0,0.81
2023-03-03,33,31,0,0.94
2023-03-05,28,24,0,0.86
2023-03-07,34,32,0,0.94
2023-03-09,33,28,0,0.85
