date,total,filter,remove,ratio
2021-12-26,23,12,0,0.52
2021-12-28,16,9,0,0.56
2021-12-30,21,16,0,0.76
2022-01-02,18,14,0,0.78
2022-01-08,23,13,0,0.57
2022-01-10,19,6,0,0.32
2022-01-12,21,14,0,0.67
2022-01-14,18,13,1,0.72
2022-01-16,19,10,0,0.53
2022-01-18,29,17,0,0.59
2022-01-20,22,14,0,0.64
2022-01-22,21,10,0,0.48
2022-01-24,22,14,2,0.64
2022-01-26,22,19,2,0.86
2022-01-28,19,11,0,0.58
2022-01-30,19,13,0,0.68
2022-02-02,24,14,0,0.58
2022-02-04,27,14,0,0.52
2022-02-06,26,17,0,0.65
2022-02-08,20,11,1,0.55
2022-02-10,35,18,0,0.51
2022-02-12,29,17,0,0.59
2022-02-14,18,12,0,0.67
2022-02-16,27,15,0,0.56
2022-02-18,20,10,5,0.5
2022-02-20,29,22,0,0.76
2022-02-22,20,10,0,0.5
2022-02-26,17,8,0,0.47
2022-02-28,31,17,0,0.55
2022-03-02,23,17,0,0.74
2022-03-04,17,7,0,0.41
2022-03-06,18,8,0,0.44
2022-03-08,22,15,0,0.68
2022-03-10,31,15,0,0.48
2022-03-12,27,20,0,0.74
2022-03-14,34,22,1,0.65
2022-03-16,17,11,3,0.65
2022-03-18,24,13,0,0.54
2022-03-20,25,18,0,0.72
2022-03-22,18,12,0,0.67
2022-03-24,18,13,0,0.72
2022-03-26,22,17,0,0.77
2022-03-28,23,13,0,0.57
2022-03-30,20,11,0,0.55
2022-04-02,23,16,0,0.7
2022-04-04,48,28,0,0.58
2022-04-06,33,21,0,0.64
2022-04-08,45,36,0,0.8
2022-04-10,37,21,0,0.57
2022-04-12,39,17,1,0.44
2022-04-14,30,24,2,0.8
2022-04-16,29,12,0,0.41
2022-04-18,50,24,0,0.48
2022-04-20,31,18,0,0.58
2022-04-22,54,41,0,0.76
2022-04-24,37,23,0,0.62
2022-04-26,62,44,0,0.71
2022-04-28,39,19,0,0.49
2022-04-30,36,26,0,0.72
2022-05-02,34,23,0,0.68
2022-05-04,47,28,2,0.6
2022-05-06,38,18,0,0.47
2022-05-08,40,28,0,0.7
2022-05-10,31,24,0,0.77
2022-05-12,46,26,0,0.57
2022-05-14,33,21,0,0.64
2022-05-16,28,20,2,0.71
2022-05-18,58,26,0,0.45
2022-05-20,33,24,0,0.73
2022-05-22,40,24,0,0.6
2022-05-24,29,16,2,0.55
2022-05-26,37,25,0,0.68
2022-06-02,39,32,0,0.82
2022-06-04,35,16,0,0.46
2022-06-06,39,23,0,0.59
2022-06-08,36,25,0,0.69
2022-06-10,47,29,0,0.62
2022-06-12,46,36,0,0.78
2022-06-14,47,22,0,0.47
2022-06-16,42,31,0,0.74
2022-06-18,34,27,0,0.79
2022-06-20,28,16,0,0.57
2022-06-22,50,33,0,0.66
2022-06-24,43,23,0,0.53
2022-06-26,41,33,0,0.8
2022-06-28,48,33,0,0.69
2022-06-30,34,20,0,0.59
2022-07-02,36,17,0,0.47
2022-07-04,34,26,0,0.76
2022-07-06,38,23,3,0.61
2022-07-08,40,24,0,0.6
2022-07-10,36,24,0,0.67
2022-07-12,27,18,6,0.67
2022-07-14,30,15,0,0.5
2022-07-16,36,25,0,0.69
2022-07-18,36,31,0,0.86
2022-07-20,42,25,0,0.6
2022-07-22,52,28,0,0.54
2022-07-24,59,30,0,0.51
2022-07-26,38,30,3,0.79
2022-07-28,31,23,0,0.74
2022-07-30,45,25,0,0.56
2022-08-02,43,32,0,0.74
2022-08-04,45,27,3,0.6
2022-08-06,37,30,0,0.81
2022-08-08,46,24,2,0.52
2022-08-10,31,24,0,0.77
2022-08-12,36,26,0,0.72
2022-08-14,38,26,0,0.68
2022-08-16,34,22,0,0.65
2022-08-18,59,44,0,0.75
2022-08-20,40,28,0,0.7
2022-08-22,35,22,1,0.63
2022-08-24,47,29,0,0.62
2022-08-26,46,30,0,0.65
2022-08-28,46,26,0,0.57
2022-08-30,45,34,0,0.76
2022-09-02,52,29,5,0.56
2022-09-04,38,20,0,0.53
2022-09-06,38,23,0,0.61
2022-09-08,37,25,3,0.68
2022-09-10,49,21,0,0.43
2022-09-12,31,16,0,0.52
2022-09-14,34,21,0,0.62
2022-09-16,35,19,0,0.54
2022-09-18,45,27,0,0.6
2022-09-20,41,25,0,0.61
2022-09-22,38,26,0,0.68
2022-09-24,35,22,0,0.63
2022-09-26,38,17,0,0.45
2022-09-28,33,21,0,0.64
2022-09-30,45,19,0,0.42
2022-10-02,45,20,0,0.44
2022-10-04,41,30,0,0.73
2022-10-06,50,35,0,0.7
2022-10-08,36,30,0,0.83
2022-10-10,33,17,0,0.52
2022-10-12,44,36,0,0.82
2022-10-14,31,22,0,0.71
2022-10-16,33,25,0,0.76
2022-10-18,29,23,0,0.79
2022-10-20,26,17,0,0.65
2022-10-22,31,21,0,0.68
2022-10-24,24,20,0,0.83
2022-10-26,28,22,0,0.79
2022-10-28,22,14,0,0.64
2022-10-30,25,16,0,0.64
2022-11-01,21,17,0,0.81
2022-11-03,19,15,0,0.79
2022-11-05,36,23,0,0.64
2022-11-07,34,28,0,0.82
2022-11-09,38,30,0,0.79
2022-11-11,21,15,0,0.71
2022-11-13,28,21,0,0.75
2022-11-15,25,16,0,0.64
2022-11-17,20,16,0,0.8
2022-11-19,20,15,0,0.75
2022-11-21,22,16,0,0.73
2022-11-23,20,13,0,0.65
2022-11-25,17,10,0,0.59
2022-11-27,27,20,0,0.74
2022-11-30,22,18,0,0.82
2022-12-02,21,17,0,0.81
2022-12-04,22,15,0,0.68
2022-12-06,24,15,0,0.62
2022-12-08,20,14,0,0.7
2022-12-10,24,19,0,0.79
2022-12-12,16,12,0,0.75
2022-12-14,19,16,0,0.84
2022-12-16,22,16,0,0.73
2022-12-18,18,12,0,0.67
2022-12-20,22,14,0,0.64
2022-12-22,22,16,0,0.73
2022-12-24,18,15,0,0.83
2022-12-26,25,20,0,0.8
2022-12-28,20,15,0,0.75
2022-12-30,26,18,0,0.69
2023-01-01,16,11,0,0.69
2023-01-03,26,19,0,0.73
2023-01-05,15,11,0,0.73
2023-01-07,25,17,0,0.68
2023-01-09,24,15,0,0.62
2023-01-13,28,20,0,0.71
2023-01-15,36,27,0,0.75
2023-01-17,24,19,0,0.79
2023-01-19,39,30,0,0.77
2023-01-21,35,24,0,0.69
2023-01-23,23,15,0,0.65
2023-01-26,30,23,0,0.77
2023-01-28,28,18,0,0.64
2023-02-01,30,21,0,0.7
2023-02-01,27,19,0,0.7
2023-02-01,25,17,0,0.68
2023-02-01,31,26,0,0.84
2023-02-01,24,15,0,0.62
2023-02-03,33,25,0,0.76
2023-02-05,28,18,0,0.64
2023-02-07,23,17,0,0.74
2023-02-09,31,22,0,0.71
2023-02-11,36,24,0,0.67
2023-02-13,24,20,0,0.83
2023-02-15,34,22,0,0.65
2023-02-17,24,15,0,0.62
2023-02-19,30,23,0,0.77
2023-02-21,26,18,0,0.69
2023-02-23,38,30,0,0.79
2023-02-25,22,17,0,0.77
2023-02-27,30,22,0,0.73
2023-03-01,31,25,0,0.81
2023-03-03,33,28,0,0.85
2023-03-05,28,21,0,0.75
2023-03-07,34,27,0,0.79
2023-03-09,33,22,0,0.67
2023-03-11,27,21,0,0.78
2023-03-13,30,25,0,0.83
2023-03-16,34,26,0,0.76
2023-03-18,22,18,0,0.82
2023-03-20,34,25,0,0.74
2023-03-22,24,18,0,0.75
2023-03-24,36,28,0,0.78
2023-03-26,26,18,0,0.69
2023-04-02,24,17,0,0.71
2023-04-04,31,25,0,0.81
2023-04-06,32,21,0,0.66
2023-04-12,27,22,0,0.81
2023-04-14,37,26,0,0.7
2023-04-16,25,17,0,0.68
2023-04-18,35,26,0,0.74
2023-04-20,29,21,0,0.72
2023-04-22,22,18,0,0.82
2023-04-24,24,18,0,0.75
2023-04-26,36,26,0,0.72
2023-04-30,24,17,0,0.71
2023-05-02,24,16,0,0.67
2023-05-04,24,16,0,0.67
2023-05-06,25,17,0,0.68
2023-05-08,34,24,0,0.71
2023-05-10,28,19,0,0.68
2023-05-12,30,20,0,0.67
2023-05-14,32,23,0,0.72
2023-05-16,22,15,0,0.68
2023-05-18,28,19,0,0.68
2023-05-20,37,26,0,0.7
2023-05-22,22,18,0,0.82
2023-05-24,26,19,0,0.73
2023-05-26,36,26,0,0.72
2023-05-28,24,18,0,0.75
2023-05-30,27,22,0,0.81
2023-06-01,26,21,0,0.81
2023-06-03,27,21,0,0.78
2023-06-05,21,17,0,0.81
2023-06-07,36,30,0,0.83
2023-06-09,29,20,0,0.69
2023-06-09,22,15,0,0.68
2023-06-11,26,17,0,0.65
2023-06-13,27,20,0,0.74
2023-06-15,27,22,0,0.81
2023-06-17,26,18,0,0.69
2023-06-17,24,16,0,0.67
2023-06-17,26,20,0,0.77
2023-06-19,23,19,0,0.83
2023-06-21,22,18,0,0.82
2023-06-23,27,19,0,0.7
2023-06-25,22,17,0,0.77
2023-06-27,32,22,0,0.69
2023-06-29,23,17,0,0.74
2023-07-01,31,25,0,0.81
2023-07-03,25,19,0,0.76
2023-07-05,36,30,0,0.83
2023-07-07,29,24,0,0.83
2023-07-09,27,22,0,0.81
2023-07-11,25,20,0,0.8
2023-07-13,28,23,0,0.82
2023-07-15,30,24,0,0.8
2023-07-17,28,19,0,0.68
2023-07-19,28,19,0,0.68
