date,total,filter,remove,ratio
2021-12-26,23,14,0,0.61
2021-12-28,16,12,0,0.75
2021-12-30,21,12,0,0.57
2022-01-02,17,9,1,0.53
2022-01-08,23,13,0,0.57
2022-01-10,19,11,0,0.58
2022-01-12,19,8,2,0.42
2022-01-14,19,8,0,0.42
2022-01-16,19,9,0,0.47
2022-01-18,29,25,0,0.86
2022-01-20,17,11,5,0.65
2022-01-22,21,18,0,0.86
2022-01-24,20,16,4,0.8
2022-01-26,24,18,0,0.75
2022-01-28,19,13,0,0.68
2022-01-30,17,9,2,0.53
2022-02-02,24,18,0,0.75
2022-02-04,27,13,0,0.48
2022-02-06,26,19,0,0.73
2022-02-08,19,13,2,0.68
2022-02-10,35,15,0,0.43
2022-02-12,29,22,0,0.76
2022-02-14,18,13,0,0.72
2022-02-16,27,21,0,0.78
2022-02-18,25,16,0,0.64
2022-02-20,29,20,0,0.69
2022-02-22,20,13,0,0.65
2022-02-26,17,9,0,0.53
2022-02-28,28,23,3,0.82
2022-03-02,23,19,0,0.83
2022-03-04,16,7,1,0.44
2022-03-06,18,10,0,0.56
2022-03-08,22,12,0,0.55
2022-03-10,31,28,0,0.9
2022-03-12,27,19,0,0.7
2022-03-14,35,26,0,0.74
2022-03-16,17,13,3,0.76
2022-03-18,24,19,0,0.79
2022-03-20,25,14,0,0.56
2022-03-22,14,9,4,0.64
2022-03-24,18,9,0,0.5
2022-03-26,22,12,0,0.55
2022-03-28,23,19,0,0.83
2022-03-30,20,15,0,0.75
2022-04-02,23,14,0,0.61
2022-04-04,47,26,1,0.55
2022-04-06,27,16,6,0.59
2022-04-08,45,27,0,0.6
2022-04-10,37,17,0,0.46
2022-04-12,39,23,1,0.59
2022-04-14,31,18,1,0.58
2022-04-16,29,21,0,0.72
2022-04-18,50,42,0,0.84
2022-04-20,31,20,0,0.65
2022-04-22,54,43,0,0.8
2022-04-24,37,22,0,0.59
2022-04-26,62,46,0,0.74
2022-04-28,39,18,0,0.46
2022-04-30,36,20,0,0.56
2022-05-02,34,27,0,0.79
2022-05-04,49,30,0,0.61
2022-05-06,38,26,0,0.68
2022-05-08,40,19,0,0.48
2022-05-10,31,16,0,0.52
2022-05-12,46,37,0,0.8
2022-05-14,33,27,0,0.82
2022-05-16,30,21,0,0.7
2022-05-18,58,29,0,0.5
2022-05-20,33,25,0,0.76
2022-05-22,40,26,0,0.65
2022-05-24,27,21,4,0.78
2022-05-26,35,17,2,0.49
2022-06-02,38,31,1,0.82
2022-06-04,35,18,0,0.51
2022-06-06,39,29,0,0.74
2022-06-08,34,18,2,0.53
2022-06-10,47,31,0,0.66
2022-06-12,45,22,1,0.49
2022-06-14,47,28,0,0.6
2022-06-16,42,26,0,0.62
2022-06-18,34,16,0,0.47
2022-06-20,28,20,0,0.71
2022-06-22,50,42,0,0.84
2022-06-24,42,19,1,0.45
2022-06-26,41,22,0,0.54
2022-06-28,48,37,0,0.77
2022-06-30,34,18,0,0.53
2022-07-02,36,20,0,0.56
2022-07-04,34,16,0,0.47
2022-07-06,41,21,0,0.51
2022-07-08,40,23,0,0.57
2022-07-10,36,20,0,0.56
2022-07-12,33,28,0,0.85
2022-07-14,30,22,0,0.73
2022-07-16,36,17,0,0.47
2022-07-18,36,13,0,0.36
2022-07-20,42,25,0,0.6
2022-07-22,52,40,0,0.77
2022-07-24,59,46,0,0.78
2022-07-26,41,17,0,0.41
2022-07-28,30,15,1,0.5
2022-07-30,45,30,0,0.67
2022-08-02,40,23,3,0.57
2022-08-04,46,28,2,0.61
